Rank 1000: HP: 1713, STR: 482, VIT: 560065, SPD: 63, LUK: 1, Attack: 84592, Defense: 643902, Current HP: 1713, A Avg: 88821, D Avg: 643902, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 489: HP: 3107, STR: 300, VIT: 559462, SPD: 63, LUK: 1, Attack: 84176, Defense: 645379, Current HP: 3107, A Avg: 88384, D Avg: 645379, [Tornado[111, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 488: HP: 3464, STR: 291, VIT: 559462, SPD: 63, LUK: 1, Attack: 84316, Defense: 645379, Current HP: 3464, A Avg: 88531, D Avg: 645379, [Fairy Sword[113, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 487: HP: 3107, STR: 370, VIT: 559462, SPD: 63, LUK: 1, Attack: 84519, Defense: 645379, Current HP: 3107, A Avg: 88744, D Avg: 645379, [Giant Tornado[114, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 486: HP: 3122, STR: 300, VIT: 559462, SPD: 63, LUK: 1, Attack: 84116, Defense: 645379, Current HP: 3122, A Avg: 88321, D Avg: 645379, [Hand Axe[140, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 485: HP: 3128, STR: 352, VIT: 559462, SPD: 63, LUK: 1, Attack: 84345, Defense: 645379, Current HP: 3128, A Avg: 88562, D Avg: 645379, [Wooden Boomerang[167, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 484: HP: 1864, STR: 680, VIT: 560543, SPD: 63, LUK: 1, Attack: 85646, Defense: 645381, Current HP: 1864, A Avg: 89928, D Avg: 645381, [Red Shark[134, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 483: HP: 3269, STR: 304, VIT: 559465, SPD: 63, LUK: 1, Attack: 84102, Defense: 645382, Current HP: 3269, A Avg: 88307, D Avg: 645382, [Ninja[135, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 482: HP: 1406, STR: 714, VIT: 560390, SPD: 63, LUK: 1, Attack: 84590, Defense: 645384, Current HP: 1406, A Avg: 88819, D Avg: 645384, [Tornado[111, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 481: HP: 1763, STR: 705, VIT: 560390, SPD: 63, LUK: 1, Attack: 84730, Defense: 645384, Current HP: 1763, A Avg: 88966, D Avg: 645384, [Fairy Sword[113, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 480: HP: 1406, STR: 784, VIT: 560390, SPD: 63, LUK: 1, Attack: 84933, Defense: 645384, Current HP: 1406, A Avg: 89179, D Avg: 645384, [Giant Tornado[114, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 479: HP: 1421, STR: 714, VIT: 560390, SPD: 63, LUK: 1, Attack: 84530, Defense: 645384, Current HP: 1421, A Avg: 88756, D Avg: 645384, [Hand Axe[140, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 478: HP: 1427, STR: 766, VIT: 560390, SPD: 63, LUK: 1, Attack: 84759, Defense: 645384, Current HP: 1427, A Avg: 88996, D Avg: 645384, [Wooden Boomerang[167, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 477: HP: 3124, STR: 300, VIT: 559468, SPD: 63, LUK: 1, Attack: 84306, Defense: 645385, Current HP: 3124, A Avg: 88521, D Avg: 645385, [Crescent[141, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 476: HP: 1568, STR: 718, VIT: 560393, SPD: 63, LUK: 1, Attack: 84516, Defense: 645387, Current HP: 1568, A Avg: 88741, D Avg: 645387, [Ninja[135, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 475: HP: 1448, STR: 860, VIT: 561150, SPD: 63, LUK: 1, Attack: 86413, Defense: 645390, Current HP: 1448, A Avg: 90733, D Avg: 645390, [Hammer of Justice[186, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 474: HP: 1986, STR: 545, VIT: 560552, SPD: 63, LUK: 1, Attack: 84863, Defense: 645390, Current HP: 1986, A Avg: 89106, D Avg: 645390, [Ruby Knuckle[151, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 473: HP: 1423, STR: 714, VIT: 560396, SPD: 63, LUK: 1, Attack: 84720, Defense: 645390, Current HP: 1423, A Avg: 88956, D Avg: 645390, [Crescent[141, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 472: HP: 3527, STR: 2408, VIT: 559479, SPD: 63, LUK: 1, Attack: 92317, Defense: 645396, Current HP: 3527, A Avg: 96932, D Avg: 645396, [Spectral Sword Shigure[172, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 471: HP: 1826, STR: 2822, VIT: 560407, SPD: 63, LUK: 1, Attack: 92731, Defense: 645401, Current HP: 1826, A Avg: 97367, D Avg: 645401, [Spectral Sword Shigure[172, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 470: HP: 3485, STR: 432, VIT: 559491, SPD: 63, LUK: 1, Attack: 85114, Defense: 645408, Current HP: 3485, A Avg: 89369, D Avg: 645408, [Thunder Whip[143, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 469: HP: 1784, STR: 846, VIT: 560419, SPD: 63, LUK: 1, Attack: 85528, Defense: 645413, Current HP: 1784, A Avg: 89804, D Avg: 645413, [Thunder Whip[143, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 468: HP: 1196, STR: 300, VIT: 560448, SPD: 63, LUK: 1, Attack: 84176, Defense: 645416, Current HP: 1196, A Avg: 88384, D Avg: 645416, [Tornado[111, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 467: HP: 1553, STR: 291, VIT: 560448, SPD: 63, LUK: 1, Attack: 84316, Defense: 645416, Current HP: 1553, A Avg: 88531, D Avg: 645416, [Fairy Sword[113, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 466: HP: 1196, STR: 370, VIT: 560448, SPD: 63, LUK: 1, Attack: 84519, Defense: 645416, Current HP: 1196, A Avg: 88744, D Avg: 645416, [Giant Tornado[114, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 465: HP: 1211, STR: 300, VIT: 560448, SPD: 63, LUK: 1, Attack: 84116, Defense: 645416, Current HP: 1211, A Avg: 88321, D Avg: 645416, [Hand Axe[140, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 464: HP: 1217, STR: 352, VIT: 560448, SPD: 63, LUK: 1, Attack: 84345, Defense: 645416, Current HP: 1217, A Avg: 88562, D Avg: 645416, [Wooden Boomerang[167, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 463: HP: 1358, STR: 304, VIT: 560451, SPD: 63, LUK: 1, Attack: 84102, Defense: 645419, Current HP: 1358, A Avg: 88307, D Avg: 645419, [Ninja[135, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 462: HP: 1650, STR: 905, VIT: 560581, SPD: 63, LUK: 1, Attack: 85639, Defense: 645419, Current HP: 1650, A Avg: 89920, D Avg: 645419, [Irruption[154, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 461: HP: 1213, STR: 300, VIT: 560454, SPD: 63, LUK: 1, Attack: 84306, Defense: 645422, Current HP: 1213, A Avg: 88521, D Avg: 645422, [Crescent[141, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 460: HP: 1469, STR: 862, VIT: 560564, SPD: 63, LUK: 1, Attack: 87390, Defense: 645428, Current HP: 1469, A Avg: 91759, D Avg: 645428, [Moon Knuckle[153, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 459: HP: 1448, STR: 2460, VIT: 560564, SPD: 63, LUK: 1, Attack: 88338, Defense: 645428, Current HP: 1448, A Avg: 92754, D Avg: 645428, [Blue Sword[180, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 458: HP: 1700, STR: 1155, VIT: 561190, SPD: 63, LUK: 1, Attack: 87644, Defense: 645430, Current HP: 1700, A Avg: 92026, D Avg: 645430, [Cuttlefish[178, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 457: HP: 1616, STR: 2408, VIT: 560465, SPD: 63, LUK: 1, Attack: 92317, Defense: 645433, Current HP: 1616, A Avg: 96932, D Avg: 645433, [Spectral Sword Shigure[172, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 456: HP: 1574, STR: 432, VIT: 560477, SPD: 63, LUK: 1, Attack: 85114, Defense: 645445, Current HP: 1574, A Avg: 89369, D Avg: 645445, [Thunder Whip[143, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 455: HP: 1364, STR: 169, VIT: 561631, SPD: 63, LUK: 1, Attack: 84557, Defense: 645468, Current HP: 1364, A Avg: 88784, D Avg: 645468, [Encryption Key[173, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 454: HP: 5648, STR: 1699, VIT: 561631, SPD: 63, LUK: 1, Attack: 89581, Defense: 645468, Current HP: 5648, A Avg: 94060, D Avg: 645468, [Wild Card[175, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 453: HP: 1364, STR: 903, VIT: 561631, SPD: 63, LUK: 1, Attack: 86547, Defense: 645468, Current HP: 1364, A Avg: 90874, D Avg: 645468, [Portal Sword[176, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 452: HP: 1621, STR: 613, VIT: 560633, SPD: 63, LUK: 1, Attack: 84723, Defense: 645471, Current HP: 1621, A Avg: 88959, D Avg: 645471, [Dragon Killer[139, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 451: HP: 1650, STR: 617, VIT: 560633, SPD: 63, LUK: 1, Attack: 85130, Defense: 645471, Current HP: 1650, A Avg: 89386, D Avg: 645471, [Volcano[142, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 450: HP: 1671, STR: 613, VIT: 560636, SPD: 63, LUK: 1, Attack: 86582, Defense: 645474, Current HP: 1671, A Avg: 90911, D Avg: 645474, [Fire Chariot[138, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 449: HP: 3506, STR: 291, VIT: 559560, SPD: 63, LUK: 1, Attack: 84147, Defense: 645477, Current HP: 3506, A Avg: 88354, D Avg: 645477, [Emerald Sword[115, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 448: HP: 1805, STR: 705, VIT: 560488, SPD: 63, LUK: 1, Attack: 84561, Defense: 645482, Current HP: 1805, A Avg: 88789, D Avg: 645482, [Emerald Sword[115, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 447: HP: 3322, STR: 361, VIT: 559566, SPD: 63, LUK: 1, Attack: 84263, Defense: 645483, Current HP: 3322, A Avg: 88476, D Avg: 645483, [Crossed Shuriken[136, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 446: HP: 1621, STR: 775, VIT: 560494, SPD: 63, LUK: 1, Attack: 84677, Defense: 645488, Current HP: 1621, A Avg: 88910, D Avg: 645488, [Crossed Shuriken[136, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 445: HP: 2007, STR: 747, VIT: 560651, SPD: 63, LUK: 1, Attack: 85845, Defense: 645489, Current HP: 2007, A Avg: 90137, D Avg: 645489, [Yggdrasil[126, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 444: HP: 1650, STR: 691, VIT: 560651, SPD: 63, LUK: 1, Attack: 85516, Defense: 645489, Current HP: 1650, A Avg: 89791, D Avg: 645489, [Kraken[145, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 443: HP: 1713, STR: 615, VIT: 560651, SPD: 63, LUK: 1, Attack: 85427, Defense: 645489, Current HP: 1713, A Avg: 89698, D Avg: 645489, [Granada[150, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 442: HP: 3506, STR: 423, VIT: 559575, SPD: 63, LUK: 1, Attack: 84936, Defense: 645492, Current HP: 3506, A Avg: 89182, D Avg: 645492, [Maximum Iron Mass[123, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 441: HP: 1793, STR: 624, VIT: 560657, SPD: 63, LUK: 1, Attack: 84656, Defense: 645495, Current HP: 1793, A Avg: 88888, D Avg: 645495, [Alucard[146, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 440: HP: 1805, STR: 837, VIT: 560503, SPD: 63, LUK: 1, Attack: 85350, Defense: 645497, Current HP: 1805, A Avg: 89617, D Avg: 645497, [Maximum Iron Mass[123, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 439: HP: 1595, STR: 291, VIT: 560546, SPD: 63, LUK: 1, Attack: 84147, Defense: 645514, Current HP: 1595, A Avg: 88354, D Avg: 645514, [Emerald Sword[115, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 438: HP: 1411, STR: 361, VIT: 560552, SPD: 63, LUK: 1, Attack: 84263, Defense: 645520, Current HP: 1411, A Avg: 88476, D Avg: 645520, [Crossed Shuriken[136, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 437: HP: 1595, STR: 423, VIT: 560561, SPD: 63, LUK: 1, Attack: 84936, Defense: 645529, Current HP: 1595, A Avg: 89182, D Avg: 645529, [Maximum Iron Mass[123, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 436: HP: 1650, STR: 615, VIT: 560720, SPD: 63, LUK: 1, Attack: 84556, Defense: 645558, Current HP: 1650, A Avg: 88783, D Avg: 645558, [Rusty Knife[156, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 435: HP: 3170, STR: 230, VIT: 559659, SPD: 63, LUK: 1, Attack: 84418, Defense: 645576, Current HP: 3170, A Avg: 88638, D Avg: 645576, [Cagliostro[133, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 434: HP: 1469, STR: 644, VIT: 560587, SPD: 63, LUK: 1, Attack: 84832, Defense: 645581, Current HP: 1469, A Avg: 89073, D Avg: 645581, [Cagliostro[133, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 433: HP: 3118, STR: 486, VIT: 559668, SPD: 63, LUK: 1, Attack: 84596, Defense: 645585, Current HP: 3118, A Avg: 88825, D Avg: 645585, [Windmill[137, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 432: HP: 1285, STR: 187, VIT: 561645, SPD: 63, LUK: 1, Attack: 84575, Defense: 645586, Current HP: 1285, A Avg: 88803, D Avg: 645586, [Encryption Key[173, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 431: HP: 5569, STR: 1717, VIT: 561645, SPD: 63, LUK: 1, Attack: 89599, Defense: 645586, Current HP: 5569, A Avg: 94078, D Avg: 645586, [Wild Card[175, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 430: HP: 1285, STR: 921, VIT: 561645, SPD: 63, LUK: 1, Attack: 86565, Defense: 645586, Current HP: 1285, A Avg: 90893, D Avg: 645586, [Portal Sword[176, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 429: HP: 1650, STR: 563, VIT: 560749, SPD: 63, LUK: 1, Attack: 86038, Defense: 645587, Current HP: 1650, A Avg: 90339, D Avg: 645587, [Elemental[121, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 428: HP: 2007, STR: 703, VIT: 560749, SPD: 63, LUK: 1, Attack: 85353, Defense: 645587, Current HP: 2007, A Avg: 89620, D Avg: 645587, [Diamond Knuckle[152, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 427: HP: 3107, STR: 414, VIT: 559671, SPD: 63, LUK: 1, Attack: 84414, Defense: 645588, Current HP: 3107, A Avg: 88634, D Avg: 645588, [Kirisame[129, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 426: HP: 3485, STR: 423, VIT: 559671, SPD: 63, LUK: 1, Attack: 84544, Defense: 645588, Current HP: 3485, A Avg: 88771, D Avg: 645588, [Black Kirisame[130, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 425: HP: 3473, STR: 604, VIT: 559671, SPD: 63, LUK: 1, Attack: 86352, Defense: 645588, Current HP: 3473, A Avg: 90669, D Avg: 645588, [Scythe of the Grim Reaper[148, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 424: HP: 1417, STR: 900, VIT: 560596, SPD: 63, LUK: 1, Attack: 85010, Defense: 645590, Current HP: 1417, A Avg: 89260, D Avg: 645590, [Windmill[137, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 423: HP: 3506, STR: 423, VIT: 559673, SPD: 63, LUK: 1, Attack: 84533, Defense: 645590, Current HP: 3506, A Avg: 88759, D Avg: 645590, [Serpent[144, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 422: HP: 1272, STR: 934, VIT: 560755, SPD: 63, LUK: 1, Attack: 85772, Defense: 645593, Current HP: 1272, A Avg: 90060, D Avg: 645593, [Classic[168, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 421: HP: 1406, STR: 828, VIT: 560599, SPD: 63, LUK: 1, Attack: 84828, Defense: 645593, Current HP: 1406, A Avg: 89069, D Avg: 645593, [Kirisame[129, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 420: HP: 1784, STR: 837, VIT: 560599, SPD: 63, LUK: 1, Attack: 84958, Defense: 645593, Current HP: 1784, A Avg: 89205, D Avg: 645593, [Black Kirisame[130, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 419: HP: 1772, STR: 1018, VIT: 560599, SPD: 63, LUK: 1, Attack: 86766, Defense: 645593, Current HP: 1772, A Avg: 91104, D Avg: 645593, [Scythe of the Grim Reaper[148, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 418: HP: 1805, STR: 837, VIT: 560601, SPD: 63, LUK: 1, Attack: 84947, Defense: 645595, Current HP: 1805, A Avg: 89194, D Avg: 645595, [Serpent[144, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 417: HP: 3700, STR: 549, VIT: 559679, SPD: 63, LUK: 1, Attack: 85515, Defense: 645596, Current HP: 3700, A Avg: 89790, D Avg: 645596, [Red Shark[134, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 416: HP: 1999, STR: 963, VIT: 560607, SPD: 63, LUK: 1, Attack: 85929, Defense: 645601, Current HP: 1999, A Avg: 90225, D Avg: 645601, [Red Shark[134, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 415: HP: 3821, STR: 414, VIT: 559688, SPD: 63, LUK: 1, Attack: 84732, Defense: 645605, Current HP: 3821, A Avg: 88968, D Avg: 645605, [Ruby Knuckle[151, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 414: HP: 2120, STR: 828, VIT: 560616, SPD: 63, LUK: 1, Attack: 85146, Defense: 645610, Current HP: 2120, A Avg: 89403, D Avg: 645610, [Ruby Knuckle[151, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 413: HP: 1259, STR: 230, VIT: 560645, SPD: 63, LUK: 1, Attack: 84418, Defense: 645613, Current HP: 1259, A Avg: 88638, D Avg: 645613, [Cagliostro[133, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 412: HP: 1207, STR: 486, VIT: 560654, SPD: 63, LUK: 1, Attack: 84596, Defense: 645622, Current HP: 1207, A Avg: 88825, D Avg: 645622, [Windmill[137, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 411: HP: 1700, STR: 1542, VIT: 560761, SPD: 63, LUK: 1, Attack: 87420, Defense: 645625, Current HP: 1700, A Avg: 91791, D Avg: 645625, [God Hand[179, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 410: HP: 1658, STR: 2154, VIT: 560761, SPD: 63, LUK: 1, Attack: 87694, Defense: 645625, Current HP: 1658, A Avg: 92078, D Avg: 645625, [Zodiac[184, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 409: HP: 1196, STR: 414, VIT: 560657, SPD: 63, LUK: 1, Attack: 84414, Defense: 645625, Current HP: 1196, A Avg: 88634, D Avg: 645625, [Kirisame[129, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 408: HP: 1574, STR: 423, VIT: 560657, SPD: 63, LUK: 1, Attack: 84544, Defense: 645625, Current HP: 1574, A Avg: 88771, D Avg: 645625, [Black Kirisame[130, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 407: HP: 1562, STR: 604, VIT: 560657, SPD: 63, LUK: 1, Attack: 86352, Defense: 645625, Current HP: 1562, A Avg: 90669, D Avg: 645625, [Scythe of the Grim Reaper[148, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 406: HP: 1595, STR: 423, VIT: 560659, SPD: 63, LUK: 1, Attack: 84533, Defense: 645627, Current HP: 1595, A Avg: 88759, D Avg: 645627, [Serpent[144, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 405: HP: 1789, STR: 549, VIT: 560665, SPD: 63, LUK: 1, Attack: 85515, Defense: 645633, Current HP: 1789, A Avg: 89790, D Avg: 645633, [Red Shark[134, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 404: HP: 3485, STR: 774, VIT: 559717, SPD: 63, LUK: 1, Attack: 85508, Defense: 645634, Current HP: 3485, A Avg: 89783, D Avg: 645634, [Irruption[154, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 403: HP: 1784, STR: 1188, VIT: 560645, SPD: 63, LUK: 1, Attack: 85922, Defense: 645639, Current HP: 1784, A Avg: 90218, D Avg: 645639, [Irruption[154, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 402: HP: 1910, STR: 414, VIT: 560674, SPD: 63, LUK: 1, Attack: 84732, Defense: 645642, Current HP: 1910, A Avg: 88968, D Avg: 645642, [Ruby Knuckle[151, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 401: HP: 1650, STR: 1071, VIT: 560819, SPD: 63, LUK: 1, Attack: 85909, Defense: 645657, Current HP: 1650, A Avg: 90204, D Avg: 645657, [Willow Blade[157, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 400: HP: 2469, STR: 912, VIT: 560819, SPD: 63, LUK: 1, Attack: 85835, Defense: 645657, Current HP: 2469, A Avg: 90126, D Avg: 645657, [Pangaea[164, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 399: HP: 1574, STR: 774, VIT: 560703, SPD: 63, LUK: 1, Attack: 85508, Defense: 645671, Current HP: 1574, A Avg: 89783, D Avg: 645671, [Irruption[154, 730, 730, 730], Huge Shield[234, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 398: HP: 2666, STR: 633, VIT: 560819, SPD: 63, LUK: 1, Attack: 85341, Defense: 645683, Current HP: 2666, A Avg: 89608, D Avg: 645683, [Thin Blade[158, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 397: HP: 1734, STR: 685, VIT: 560848, SPD: 63, LUK: 1, Attack: 86017, Defense: 645686, Current HP: 1734, A Avg: 90317, D Avg: 645686, [Tower[149, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 396: HP: 3456, STR: 482, VIT: 559769, SPD: 63, LUK: 1, Attack: 84592, Defense: 645686, Current HP: 3456, A Avg: 88821, D Avg: 645686, [Dragon Killer[139, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 395: HP: 3485, STR: 486, VIT: 559769, SPD: 63, LUK: 1, Attack: 84999, Defense: 645686, Current HP: 3485, A Avg: 89248, D Avg: 645686, [Volcano[142, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 394: HP: 3506, STR: 482, VIT: 559772, SPD: 63, LUK: 1, Attack: 86451, Defense: 645689, Current HP: 3506, A Avg: 90773, D Avg: 645689, [Fire Chariot[138, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 393: HP: 1755, STR: 896, VIT: 560697, SPD: 63, LUK: 1, Attack: 85006, Defense: 645691, Current HP: 1755, A Avg: 89256, D Avg: 645691, [Dragon Killer[139, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 392: HP: 1784, STR: 900, VIT: 560697, SPD: 63, LUK: 1, Attack: 85413, Defense: 645691, Current HP: 1784, A Avg: 89683, D Avg: 645691, [Volcano[142, 730, 730, 730], Metalization[228, 730, 730, 730], Endpoint[318, 730, 730, 730]]
