str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
必ず見つけ出すよ本文4,"We intend to use every means possible to find {name}{@} First, we will divide up and gather information{@} If we find any solid information, we will share it immediately",我々は{name}を見つけ出すためにあらゆる手段を尽くすつもりだ{@}まずは手分けして情報収集に当たる{@}何か有力な情報があれば、すぐに共有しよう,我们将尽一切办法找到“{name}”{@}首先，我们将分工收集信息。{@}如果找到任何有力的信息，我们将立即共享。,"우리들은 {name}을(를) 찾아내기 위해 온갖 수단을 다 써 볼 생각이야{@}일단 분담해서 정보 수집을 시작하도록 하지{@}무언가 도움이 될만한 정보를 찾으면, 곧바로 공유하겠다",我們將盡一切辦法找到{name}{@}首先，我們將分工收集信息{@}如果找到任何有力的信息，我們將立即分享,"Tenemos la intención de utilizar todos los medios posibles para encontrar a {name}{@}Primero, nos dividiremos y recopilaremos información{@}Si encontramos alguna información sólida, la compartiremos de inmediato",เราตั้งใจที่จะใช้ทุกวิถีทางเพื่อหาตัว {name} {@}ก่อนอื่น เราจะแยกกันและรวบรวมข้อมูล{@}ถ้าเราพบข้อมูลที่แน่นอน จะรีบแชร์ทันที,"Pretendemos usar todos os meios possíveis para encontrar {name}{@}Primeiro, nos dividiremos e coletaremos informações{@}Se encontrarmos alguma informação sólida, a compartilharemos imediatamente","Wir beabsichtigen, alle verfügbaren Mittel zu nutzen, um {name} zu finden{@} Zuerst werden wir uns aufteilen und Informationen sammeln{@} Wenn wir zuverlässige Hinweise finden, teilen wir sie sofort","Nous avons l'intention d'utiliser tous les moyens possibles pour trouver {name}{@} D'abord, nous nous diviserons pour recueillir des informations{@} Si nous trouvons des informations solides, nous les partagerons immédiatement"
すぐ救助に向かう,I will head for the rescue immediately,すぐ救助に向かう,立即前往救援,바로 구조하러 가겠다,我將立即前往救援,Iré inmediatamente al rescate,ฉันจะรีบไปช่วยทันที,Eu irei imediatamente para o resgate,Ich werde mich sofort zur Rettung aufmachen,Je me rendrai immédiatement au secours
すぐ救助に向かう本文1,Thank you for sending the location information{@} Displaying it on the map... I must go immediately!,位置情報を転送してくれてありがとう{@}地図上に表示して...すぐに向かわないと！,感谢你发送位置信息{@}在地图上显示...立即出发！,위치 정보를 전송해줘서 고맙다{@}지도 상에 표시하고... 바로 출발하지!,感謝你發送位置信息{@}在地圖上顯示...我必須立即前往！,Gracias por enviar la información de ubicación{@}Mostrándola en el mapa... ¡Debo ir de inmediato!,ขอบคุณสำหรับการส่งข้อมูลตำแหน่ง{@}แสดงบนแผนที่... ฉันต้องไปเดี๋ยวนี้!,Obrigado por enviar as informações de localização{@}Exibindo no mapa... Preciso ir imediatamente!,"Danke, dass du die Standortinformationen geschickt hast{@} Anzeige auf der Karte... Ich muss sofort los!",Merci d'avoir envoyé les informations de localisation{@} Affichage sur la carte... Je dois y aller immédiatement !
すぐ救助に向かう本文2,"Don't worry! With the spare parts at the shelter, I can definitely fix it{@} I will send it back to you immediately",大丈夫！シェルターにある予備パーツを使えばきっと直せる{@}すぐに君の元に送り返すよ,没问题！使用居所的备用部件，我肯定能修好。{@}我会立即把它送回给你。,걱정 마라! 피난처에 있는 예비 부품을 사용하면 반드시 고칠 수 있어{@}바로 네 곁으로 보내줄게,沒問題！使用避難所的備用部件，我肯定能修好{@}我會立即把它送回給你,"¡No te preocupes! Con las piezas de repuesto en el refugio, definitivamente puedo arreglarlo{@}Te lo enviaré de regreso de inmediato",ไม่ต้องกังวล! ด้วยอะไหล่สำรองที่ที่พักพิง ฉันสามารถซ่อมมันได้อย่างแน่นอน{@}ฉันจะรีบส่งมันกลับไปหาคุณ,"Não se preocupe! Com as peças sobressalentes no abrigo, com certeza posso consertá-lo{@}Vou enviá-lo de volta para você imediatamente",Mach dir keine Sorgen! Mit den Ersatzteilen im Schutzraum kann ich es auf jeden Fall reparieren{@} Ich schicke es dir sofort zurück,"Ne vous inquiétez pas ! Avec les pièces de rechange de l'abri, je peux certainement le réparer{@} Je vous le renverrai immédiatement"
新たな一歩,A New Step,新たな一歩,崭新的一步,새로운 한 걸음,嶄新的一步,Un nuevo paso,ก้าวใหม่,Um Novo Passo,Ein neuer Schritt,Un nouveau pas
新たな一歩本文1,I'm really glad {name} has come back{@} It seems that the shield you trained with protected {name}{@} Thank you,{name}が戻ってきてくれて本当によかった{@}君の鍛え上げた盾が{name}の身を守ってくれたようだ{@}ありがとう,真的很高兴“{name}”回来了。{@}看来你锻炼的盾牌保护了“{name}”{@}谢谢！,{name}이(가) 돌아와서 정말로 다행이야{@}네가 단련해낸 방패가 {name}을(를) 보호해 준 것 같아{@}고마워,真的很高興『{name}』回來了{@}看來你鍛鍊的盾牌保護了『{name}』{@}謝謝！,Estoy muy contento de que {name} haya regresado{@}Parece que el escudo que entrenaste protegió a {name}{@}Gracias,ฉันดีใจมากที่ {name} กลับมา{@}ดูเหมือนว่าโล่ที่คุณฝึกฝนได้ช่วยปกป้อง {name} {@}ขอบคุณ,Estou muito feliz que {name} tenha voltado{@}Parece que o escudo que você treinou protegeu {name}{@}Obrigado,"Ich bin wirklich froh, dass {name} zurückgekehrt ist{@} Es scheint, dass der Schild, mit dem du trainiert hast, {name} geschützt hat{@} Danke dir",Je suis vraiment heureux que {name} soit revenu{@} Il semble que le bouclier avec lequel vous vous êtes entraîné a protégé {name}{@} Merci
新たな一歩本文2,"The perpetual engine was lost, but even if we could have obtained it, it would have been too dangerous for humans to handle{@} We should have faced difficulties with our own strength from the start{@} Moreover, if we push the limits of equipment enhancement, we might be able to confront the monsters ourselves",永久機関は失われてしまったが、もし手に入れることができたとしても、今の人類には危険すぎて扱えなかっただろう{@}最初からそんなものに頼らず、自分たちの力で困難に立ち向かうべきだったんだ{@}それに、武具強化を突き詰めれば、我々人類でも魔物に立ち向かうことができるかもしれない,永久机关已经丢失，但即使我们能够获得它，对现在的人类来说也太危险了，无法处理{@}我们本应该从一开始就依靠自己的力量面对困难。{@}此外，如果我们深入推进装备强化，我们也许能够自己面对怪物。,"영구기관은 소실되었지만, 설령 그것을 얻을 수 있었다 해도, 지금의 인류에겐 너무 위험해서 다룰 수 없었겠지{@}처음부터 그런 것에 의존하지 않고, 우리들 스스로의 힘으로 어려움에 맞서야 했어{@}게다가, 장비 강화를 철저히 하면 우리들 인류도 마물에게 맞서 싸울 수 있을지도 몰라",永久機關已經丟失，但即使我們能夠獲得它，對現在的人類來說也太危險了，無法處理{@}我們本應該從一開始就依靠自己的力量面對困難{@}此外，如果我們深入推進裝備強化，我們也許能夠自己面對怪物,"El motor perpetuo se perdió, pero incluso si hubiéramos podido obtenerlo, habría sido demasiado peligroso para que los humanos lo manejaran{@}Deberíamos haber enfrentado las dificultades con nuestra propia fuerza desde el principio{@}Además, si llevamos los límites de la mejora de equipo, podríamos enfrentarnos a los monstruos nosotros mismos",เครื่องจักรนิรันดร์สูญหายไปแล้ว แต่ถึงแม้ว่าเราจะสามารถได้มันมา มันก็อันตรายเกินไปที่มนุษย์จะจัดการได้{@}เราควรเผชิญกับความยากลำบากด้วยพลังของเราเองตั้งแต่แรก{@}นอกจากนี้ หากเราดันขีดจำกัดของการเสริมสร้างอุปกรณ์ เราอาจสามารถต่อสู้กับมอนสเตอร์ด้วยตัวเอง,"O motor perpétuo foi perdido, mas mesmo que pudéssemos obtê-lo, seria perigoso demais para os humanos manuseá-lo{@}Deveríamos ter enfrentado as dificuldades com nossa própria força desde o início{@}Além disso, se ultrapassarmos os limites do aprimoramento de equipamentos, poderemos enfrentar os monstros por conta própria","Der unendliche Antrieb ging verloren, aber selbst wenn wir ihn erhalten hätten, wäre er für Menschen zu gefährlich gewesen{@} Wir hätten die Schwierigkeiten von Anfang an mit unserer eigenen Kraft meistern sollen{@} Wenn wir die Ausrüstungsverstärkung an ihre Grenzen treiben, könnten wir den Monstern vielleicht selbst entgegentreten","Le moteur perpétuel a été perdu, mais même si nous avions pu l'obtenir, il aurait été trop dangereux pour les humains de le manipuler{@} Nous aurions dû affronter les difficultés par nos propres forces dès le départ{@} De plus, si nous poussons les limites de l'amélioration de l'équipement, nous pourrions être capables de confronter nous-mêmes les monstres"
新たな一歩本文3,"I will rebuild humanity from here{@} Come and see me sometimes{@}{@} By the way, the loot {name} obtained from their last adventure was scattered around the rescue site{@} I have collected it all, so I will send it to you",私は人類をここから再建させてみせる{@}たまには顔を見せてくれよ{@}{@}そうそう、{name}が最後の冒険で手に入れた戦利品だけど、救助地点に散らばっていたよ{@}全て回収したから、送っておくね,我将从这里重建人类。{@}偶尔来看看我！{@}{@}顺便说一下，“{name}”在最后的冒险中获得的战利品散落在救助地点。{@}我已经全部收集，会归还给你。,"나는 인류를 이곳에서부터 재건해 나갈거야{@}가끔은 얼굴을 비쳐줬으면 좋겠군{@}{@}아 그렇지, {name}이(가) 마지막 모험에서 얻은 전리품들 말인데, 구조 지점에 흩어져 있더구나{@}모두 회수했으니 보내주겠다",我將從這裡重建人類{@}偶爾來看看我！{@}{@}順便說一下，『{name}』在最後的冒險中獲得的戰利品散落在救助地點{@}我已經全部收集，會歸還給你,"Reconstruiré la humanidad desde aquí{@}Ven a verme de vez en cuando{@}{@}Por cierto, los botines que {name} obtuvo en su última aventura estaban esparcidos por el sitio de rescate{@}Los he recogido todos, así que te los enviaré",ฉันจะสร้างมนุษยชาติขึ้นใหม่จากที่นี่{@}มาหาฉันบ้างในบางครั้ง{@}{@}อ้อ ใช่ ของรางวัลที่ {name} ได้มาจากการผจญภัยครั้งสุดท้ายกระจายอยู่ที่จุดกู้ภัย{@}ฉันเก็บรวบรวมทั้งหมดและจะส่งให้คุณ,"Vou reconstruir a humanidade a partir daqui{@}Venha me visitar de vez em quando{@}{@}A propósito, os espólios que {name} obteve em sua última aventura estavam espalhados pelo local de resgate{@}Eu os coletei todos, então vou enviá-los para você","Ich werde die Menschheit von hier aus neu aufbauen{@} Komm mich ab und zu besuchen{@}{@} Übrigens, die Beute, die {name} bei seinem letzten Abenteuer erhalten hat, wurde rund um den Rettungsort verstreut{@} Ich habe alles eingesammelt und werde es dir zusenden","Je reconstruirai l'humanité à partir d'ici{@} Venez me voir de temps en temps{@}{@} Au fait, le butin que {name} a obtenu lors de sa dernière aventure était éparpillé autour du site de sauvetage{@} Je l'ai tout ramassé, alors je vais vous l'envoyer"
封印された扉,Sealed Door,封印された扉,封印之门,봉인된 문,封印之門,Puerta sellada,ประตูที่ปิดผนึก,Porta Selada,Versiegelte Tür,Porte Scellée
封印された扉本文1,"We have learned about Teba's activities while he occupied the castle{@}He seemed to be trying to resurrect and fight the legendary monster, Juggernaut",テバが城を占拠していた間の動向がわかった{@}彼は、伝説の魔物『ジャガーノート』を復活させ、戦おうとしていたようだ,我们已经掌握了Teba占据城堡期间的活动。{@}他似乎在尝试复活传说中的怪物伽格诺并与之战斗。,테바가 성을 점거하고 있던 동안의 동향을 파악했다{@}그는 전설 속의 마물 『저거너트』를 부활시켜 싸우게 하려 했던 것 같아,我們已經掌握了Teba佔據城堡期間的活動。 {@}他似乎在嘗試復活傳說中的怪物伽格諾並與之戰鬥,"Hemos aprendido sobre las actividades de Teba mientras ocupaba el castillo{@}Parecía estar tratando de resucitar y luchar contra el monstruo legendario, Juggernaut","เราได้เรียนรู้เกี่ยวกับกิจกรรมของ Teba ขณะครอบครองปราสาท{@}ดูเหมือนว่าเขากำลังพยายามฟื้นฟูและต่อสู้กับมอนสเตอร์ในตำนาน, Juggernaut","Aprendemos sobre as atividades de Teba enquanto ele ocupava o castelo{@}Ele parecia estar tentando ressuscitar e lutar contra o monstro lendário, Juggernaut","Wir haben über Tebas Aktivitäten erfahren, während er das Schloss besetzt hielt{@}Er schien versucht zu haben, das legendäre Monster Juggernaut wiederzubeleben und zu bekämpfen","Nous avons appris les activités de Teba alors qu'il occupait le château{@}Il semblait essayer de ressusciter et de combattre le monstre légendaire, Juggernaut"
封印された扉本文2,"Juggernaut is a legendary monster with very few descriptions remaining even in ancient texts, and in modern times it is told as a fairy tale{@}Teba must have been convinced of the Juggernaut's existence by gathering these scarce and fragmented pieces of information{@}He used the kingdom's facilities to search everywhere on the surface, but ultimately he couldn't find it",ジャガーノートは古い文献にもほとんど記述が残っておらず、現代ではおとぎ話として語り継がれている伝説の魔物だ{@}テバはその数少ない断片的な情報を集め、ジャガーノートが実在することを確信していたんだろう{@}彼は王国の設備を使って、地上のあらゆる場所を探し回ったが、結局見つけられなかったようだ,伽格诺是一只传说中的怪物，出现在童话故事中并流传至今，在古代文献中几乎没有记载。{@}Teba定是收集到了一些零星的信息，确信伽格诺真的存在。{@}他利用王国的设备在地面到处寻找，但最终还是没能找到。,"저거너트는 오래된 문헌에도 거의 기록이 남아 있지 않고, 현대에는 동화 속 이야기로나 전해지는 전설의 마물이야{@}테바는 그 몇 안되는 단편적인 정보들을 모았고, 저거너트가 실존한다고 확신했던 것 같더군{@}그는 왕국의 설비를 이용해 지상의 온갖 장소를 다 찾아다녔지만, 결국 찾지 못한 것 같아",伽格諾是一隻傳說中的怪物，出現在童話故事中並流傳至今，在古代文獻中幾乎沒有記載。 {@}Teba定是收集到了一些零星的訊息，確信伽格諾真的存在。 {@}他利用王國的設備在地面到處尋找，但最終還是沒能找到,"Juggernaut es un monstruo legendario con muy pocas descripciones que quedan incluso en textos antiguos, y en los tiempos modernos se cuenta como un cuento de hadas{@}Teba debió haber estado convencido de la existencia de Juggernaut al reunir estas piezas escasas y fragmentadas de información{@}Usó las instalaciones del reino para buscar en toda la superficie, pero al final no pudo encontrarlo",Juggernaut เป็นมอนสเตอร์ในตำนานที่มีการบรรยายไว้เพียงเล็กน้อยแม้แต่ในตำราโบราณ และในยุคปัจจุบันมันถูกเล่าขานเป็นนิทาน{@}Teba ต้องเชื่อมั่นในตัว Juggernaut โดยรวบรวมข้อมูลเล็กๆ น้อยๆ และกระจัดกระจายนี้{@}เขาใช้สิ่งอำนวยความสะดวกของอาณาจักรเพื่อค้นหาทั่วทั้งพื้นผิว แต่สุดท้ายก็ไม่พบ,"Juggernaut é um monstro lendário com muito poucas descrições remanescentes mesmo em textos antigos, e nos tempos modernos é contado como um conto de fadas{@}Teba deve ter se convencido da existência do Juggernaut reunindo essas peças escassas e fragmentadas de informação{@}Ele usou as instalações do reino para procurar por toda a superfície, mas no final não conseguiu encontrá-lo","Juggernaut ist ein legendäres Monster, über das selbst in alten Texten nur sehr wenige Beschreibungen erhalten sind, und in der heutigen Zeit wird es als Märchen erzählt{@}Teba muss durch das Sammeln dieser wenigen und fragmentierten Informationen von der Existenz des Juggernaut überzeugt worden sein{@}Er nutzte die Einrichtungen des Königreichs, um überall auf der Oberfläche zu suchen, konnte ihn letztlich aber nicht finden","Juggernaut est un monstre légendaire avec très peu de descriptions restantes même dans les textes anciens, et à l'époque moderne, il est raconté comme un conte de fées{@}Teba a dû être convaincu de l'existence du Juggernaut en rassemblant ces rares fragments d'informations{@}Il a utilisé les installations du royaume pour chercher partout à la surface, mais finalement, il n'a pas pu le trouver"
封印された扉本文3,"You know there is an abandoned building called '{dungeon}' near this shelter, right?{@} Our exploration team recently investigated the abandoned building and accidentally discovered the remains of a large facility underground",このシェルターの近くに、『{dungeon}』と呼ばれる廃屋があることは知っているね？{@}私たちの探索チームが先日その廃屋を調べていたら、偶然地下に大きな施設の跡があることを発見した,你知道居所附近有一座名为“{dungeon}”的废弃屋吗？{@} 我们的搜寻队最近调查了那座废弃屋，偶然发现了地下有一个大型遗迹。,"이 피난처 근처에 『{dungeon}』이라고 불리는 폐옥이 있다는 것은 알고 있지?{@} 우리 탐색대가 얼마 전 그 폐옥을 조사하던 중, 우연하게도 지하에 있던 대형 시설의 흔적을 발견했어",你知道居所附近有一間名為「{dungeon}」的廢棄屋嗎？ {@} 我們的搜尋隊最近調查了那座廢棄屋，偶然發現了地下有一個大型遺跡,"Sabes que hay un edificio abandonado llamado '{dungeon}' cerca de este refugio, ¿verdad?{@}Nuestro equipo de exploración investigó recientemente el edificio abandonado y descubrió accidentalmente los restos de una gran instalación subterránea",คุณรู้ไหมว่ามีอาคารร้างชื่อ '{dungeon}' ใกล้ที่พักพิงแห่งนี้? {@}ทีมสำรวจของเราได้ตรวจสอบอาคารร้างเมื่อเร็วๆ นี้ และค้นพบซากของสิ่งอำนวยความสะดวกขนาดใหญ่ใต้ดินโดยบังเอิญ,"Você sabe que há um prédio abandonado chamado '{dungeon}' perto deste abrigo, certo? {@}Nossa equipe de exploração investigou recentemente o prédio abandonado e acidentalmente descobriu os restos de uma grande instalação subterrânea","Du kennst doch das verlassene Gebäude namens „{dungeon}“ in der Nähe dieses Schutzraums, oder?{@} Unser Erkundungsteam hat kürzlich das Gebäude untersucht und dabei zufällig die Überreste einer großen Anlage unterirdisch entdeckt","Vous savez qu'il y a un bâtiment abandonné appelé '{dungeon}' près de cet abri, n'est-ce pas ?{@} Notre équipe d'exploration a récemment enquêté sur le bâtiment abandonné et a accidentellement découvert les restes d'une grande installation souterraine"
封印された扉本文4,"It seems that it was once a research institute of some organization, where research on artificially creating life was being conducted{@} However, the remaining books and data are mostly decayed, and it will take a lot of time to understand the specific research content",そこは昔、どこかの組織の研究所だったらしく、人工的に生命を作る研究が進められていたようだ{@}しかし残されていた書物やデータはほとんど朽ち果てていて、具体的な研究内容を理解するには多くの時間がかかるだろう,这里过去似乎是某个组织的研究所，进行过人造生命的研究。{@} 然而，遗留下来的书籍和数据大多已经腐烂，要了解具体的研究内容需要花很长时间。,"그곳은 과거에 어떤 조직의 연구소였던 것인지, 인공적으로 생명을 만들기 위한 연구가 진행되고 있었던 것 같더군{@} 하지만 남아있는 문서나 데이터는 거의 다 썩어있던 터라 구체적인 연구 내용을 이해하는 데에는 긴 시간이 걸릴거야",這裡過去似乎是某個組織的研究所，進行過人造生命的研究。 {@} 然而，遺留下來的書籍和資料大多已經腐爛，要了解具體的研究內容需要很長時間,"Parecía que una vez fue un instituto de investigación de alguna organización, donde se realizaba investigación sobre la creación artificial de vida{@}Sin embargo, los libros y datos restantes están mayormente deteriorados, y tomará mucho tiempo entender el contenido específico de la investigación",ดูเหมือนว่าจะเคยเป็นสถาบันวิจัยขององค์กรใดองค์กรหนึ่ง ซึ่งดำเนินการวิจัยเกี่ยวกับการสร้างชีวิตเทียม{@}อย่างไรก็ตาม หนังสือและข้อมูลที่เหลืออยู่ส่วนใหญ่นั้นเสื่อมสภาพ และจะใช้เวลานานมากในการทำความเข้าใจเนื้อหาการวิจัยเฉพาะเจาะจง,"Parece que foi uma vez um instituto de pesquisa de alguma organização, onde a pesquisa sobre a criação artificial de vida estava sendo conduzida{@}No entanto, os livros e dados restantes estão em sua maioria deteriorados, e levará muito tempo para entender o conteúdo específico da pesquisa","Es scheint, dass es sich einst um ein Forschungsinstitut einer Organisation handelte, in dem an der künstlichen Erschaffung von Leben geforscht wurde{@} Die verbleibenden Bücher und Daten sind jedoch größtenteils verfallen, und es wird viel Zeit brauchen, um die genauen Forschungsinhalte zu verstehen","Il semble qu'il s'agissait autrefois d'un institut de recherche d'une organisation où des recherches sur la création artificielle de la vie étaient menées{@} Cependant, les livres et données restants sont pour la plupart dégradés, et il faudra beaucoup de temps pour comprendre le contenu spécifique des recherches"
封印された扉本文5,"And then, at the very back of the laboratory, past layers of security, an eye-catching door stood before the exploration team{@}The moment they saw the words engraved on the door, the exploration team decided to abandon the investigation and turn back",そして、その研究所の最奥部、幾重ものセキュリティを突破した先に、一際目を引く扉が探索チームの前に立ちはだかった{@}その扉に刻まれた文字を目にした瞬間、探索チームは扉の先の調査を中止し引き返すことを決めた,然后，在研究所的最深处，冲破多重安保措施后，一扇醒目的门出现在搜寻队面前。{@}看到门上所刻之字的那一刻，搜寻队决定放弃调查并掉头返回。,"그리고 그 연구소의 최심부, 몇 겹이나 되는 보안을 돌파한 너머에, 한 층 더 눈에 띄는 문이 탐험대 앞을 가로막았지{@}그리고 그 문에 새겨진 글자들을 본 순간 탐험대는 문 너머의 조사를 중단하고 돌아가기로 결정했어",然後，在研究所的最深處，衝破多重安保措施後，一扇醒目的門出現在搜尋隊面前。 {@}看到門上所刻之字的那一刻，搜尋隊決定放棄調查並掉頭返回,"Y luego, en el fondo del laboratorio, pasando capas de seguridad, un llamativo portón apareció ante el equipo de exploración{@}En el momento en que vieron las palabras grabadas en el portón, el equipo de exploración decidió abandonar la investigación y dar marcha atrás",จากนั้นที่ส่วนลึกสุดของห้องปฏิบัติการ ผ่านชั้นของความปลอดภัย ทีมสำรวจได้พบประตูที่โดดเด่นดึงดูดสายตา{@}ทันทีที่พวกเขาเห็นข้อความที่สลักบนประตู ทีมสำรวจตัดสินใจละทิ้งการสำรวจและหันหลังกลับ,"E então, no fundo do laboratório, passando por camadas de segurança, uma porta chamativa apareceu diante da equipe de exploração{@}No momento em que viram as palavras gravadas na porta, a equipe de exploração decidiu abandonar a investigação e voltar atrás","Und dann, ganz hinten im Labor, hinter mehreren Sicherheitsschichten, stand eine auffällige Tür vor dem Erkundungsteam{@}Im Moment, als sie die eingravierten Worte auf der Tür sahen, beschloss das Team, die Untersuchung abzubrechen und umzukehren","Et puis, tout au fond du laboratoire, après des couches de sécurité, une porte frappante se tenait devant l'équipe d'exploration{@}Au moment où ils ont vu les mots gravés sur la porte, l'équipe a décidé d'abandonner l'enquête et de faire demi-tour"
封印された扉本文6,"{@} 'The sins of humanity, seal the Juggernaut here' {@}",{@}『人類の罪、ジャガーノートをここに封じる』{@},{@} “人类的罪孽！将伽格诺封印在此” {@},"{@}『인류의 죄, 저거너트를 이곳에 봉인한다』{@}",{@} 「人類的罪！將伽格諾封印在此」 {@},"{@} 'Los pecados de la humanidad, sellen al Juggernaut aquí' {@}",{@} 'บาปของมนุษยชาติ จงผนึก Juggernaut ไว้ที่นี่' {@},"{@} 'Os pecados da humanidade, selar o Juggernaut aqui' {@}","{@} „Die Sünden der Menschheit, versiegelt den Juggernaut hier“ {@}","{@} 'Les péchés de l'humanité, scellez le Juggernaut ici' {@}"
封印された扉本文7,"We do not know what will happen beyond the door{@} For safety, it is better to avoid approaching this door{@} Although, the door has a special lock and cannot be opened anyway",扉の先で何がおこるかはわからない{@}念のため、この扉に近づくのはやめた方がいい{@}もっとも、扉には特殊な鍵が掛かっていて入れないのだけれど,我们不知道门后会发生什么。{@} 为了安全起见，最好别靠近这扇门！{@} 不过，门锁需要特殊的钥匙才能打开。,문 너머에서 무슨 일이 일어날 지 몰라{@} 혹시 모르니 이 문에는 가까이 가지 않는 것이 좋아{@} 물론 문에는 특별한 자물쇠가 달려 있어서 들어갈 수 없겠지만 말이야,我們不知道門後會發生什麼事。 {@} 為了安全起見，最好別靠近這扇門！ {@} 不過，門鎖需要特殊的鑰匙才能打開,"No sabemos qué sucederá más allá del portón{@}Por seguridad, es mejor evitar acercarse a este portón{@}Aunque, el portón tiene un candado especial y no puede abrirse de todos modos",เราไม่รู้ว่าจะเกิดอะไรขึ้นหลังประตูบานนี้{@}เพื่อความปลอดภัย ควรหลีกเลี่ยงการเข้าใกล้ประตูนี้{@}แม้ว่าประตูนี้จะมีตัวล็อคพิเศษและไม่สามารถเปิดได้อยู่แล้วก็ตาม,"Não sabemos o que acontecerá além da porta{@}Por segurança, é melhor evitar se aproximar dessa porta{@}Embora, a porta tenha uma fechadura especial e não possa ser aberta de qualquer maneira","Wir wissen nicht, was sich hinter der Tür befindet{@} Aus Sicherheitsgründen ist es besser, sich dieser Tür nicht zu nähern{@} Außerdem hat die Tür ein spezielles Schloss und kann ohnehin nicht geöffnet werden","Nous ne savons pas ce qu'il y aura au-delà de la porte{@} Pour des raisons de sécurité, il vaut mieux éviter de s'approcher de cette porte{@} De toute façon, la porte a une serrure spéciale et ne peut pas être ouverte"
封印された扉本文8,"I plan to stay at the ruins of the research institute for a while and try to decipher the research that was conducted there{@}{@} P.S. {@} I've been having cold symptoms lately{@} My head hurts, and I don't have much of an appetite{@} Please continue your journey while taking care of yourselves",私はしばらく研究所跡地に籠り、そこで行われていた研究を読み解いてみるつもりだ{@}{@}追伸{@}最近風邪の症状が続いていてね{@}頭が痛くて、あまり食欲が沸かないんだ{@}君たちも身体に気を付けて旅を続けてくれ,我打算在研究所遗址待上一段时间，试着破解研究内容。{@}{@} P.S.{@} 最近我一直在感冒。{@} 头很痛，也没什么胃口。{@} 你们旅途中也要保重身体！,"나는 잠시동안 연구소가 있었던 곳에 머무르면서 그곳에서 진행됐던 연구를 해석해볼 생각이야{@}{@} 추신{@} 최근 감기 증상이 계속되고 있어{@} 머리가 아프고, 식욕도 별로 없네{@} 너희들도 몸조심하면서 여행을 계속하도록 해",我打算在研究所遺址待上一段時間，試著破解研究內容。 {@}{@} P.S.{@} 最近我一直在感冒。 {@} 頭很痛，也沒什麼胃口。 {@} 你們旅途中也要保重身體！,"Planeo quedarme en las ruinas del instituto de investigación por un tiempo y tratar de descifrar la investigación que se realizaba allí{@}{@}P.D. {@}Últimamente he tenido síntomas de resfriado{@}Me duele la cabeza y no tengo mucho apetito{@}Por favor, continúen su viaje mientras se cuidan",ฉันวางแผนที่จะอยู่ที่ซากของสถาบันวิจัยสักระยะหนึ่งและพยายามถอดรหัสการวิจัยที่ดำเนินการที่นั่น{@}{@}ปล. {@}ฉันมีอาการเหมือนเป็นหวัดเมื่อไม่นานมานี้{@}ปวดหัวและไม่ค่อยอยากอาหาร{@}โปรดเดินทางต่อไปอย่างระมัดระวัง,"Planejo ficar nas ruínas do instituto de pesquisa por um tempo e tentar decifrar a pesquisa que foi conduzida lá{@}{@}P.S. {@}Tenho tido sintomas de resfriado ultimamente{@}Minha cabeça dói e não tenho muito apetite{@}Por favor, continuem sua jornada cuidando-se bem","Ich plane, eine Weile bei den Ruinen des Forschungsinstituts zu bleiben und zu versuchen, die dort durchgeführten Forschungen zu entschlüsseln{@}{@} P.S. {@} In letzter Zeit habe ich Erkältungssymptome{@} Mein Kopf tut weh und ich habe kaum Appetit{@} Bitte setzt eure Reise fort und achtet gut auf euch",Je prévois de rester un moment dans les ruines de l'institut de recherche et d'essayer de déchiffrer les recherches qui y ont été menées{@}{@} P.S. {@} J'ai des symptômes de froid ces derniers temps{@} J'ai mal à la tête et peu d'appétit{@} Veuillez continuer votre voyage en prenant soin de vous
支援者テバ,Supporter Teba,支援者テバ,支援者Teba,서포터 테바,支援者Teba,Apoyo Teba,ผู้สนับสนุนเทบา,Apoiador Teba,Unterstützer Teba,Supporter Teba
科学者アイラム,Scientist Airam,科学者アイラム,科学家Airam,과학자 아이람,科學家Airam,Científico Airam,นักวิทยาศาสตร์ไอราม,Cientista Airam,Wissenschaftlerin Airam,Scientifique Airam
新着メール受信,Receive new mail,新着メール受信,接收新邮件,새로운 메일 수신,接收新郵件,Recibir nuevo correo,รับอีเมลใหม่,Receber novo e-mail,Neue Post empfangen,Recevoir un nouveau mail
メールを確認する,Check,確認する,查看你的邮件,확인한다,確認郵件,Verificar,ตรวจสอบ,Verificar,Prüfen,Vérifier
アイテム図鑑,Item book,アイテム図鑑,物品图鉴,아이템 도감,物品圖鑑,Libro de ítems,สารานุกรมไอเทม,Livro de Itens,Gegenstandsbuch,Livre d'objets
詳細,Details,詳細,详细,상세 정보,詳細,Detalles,รายละเอียด,Detalhes,Details,Détails
基礎性能,Basic performance,基礎性能,基础属性,기초 성능,基礎屬性,Rendimiento básico,ประสิทธิภาพพื้นฐาน,Desempenho básico,Grundlegende Leistung,Performance de base
強化上限,Upgrade limit,強化上限,强化上限,강화 상한,強化上限,Límite de mejora,ขีดจำกัดการเสริมแกร่ง,Limite de aprimoramento,Aufwertungsgrenze,Limite d'amélioration
