Rank 1000: HP: 440, STR: 289436, VIT: 99, SPD: 16, LUK: 1, Attack: 374014, Defense: 84118, Current HP: 440, A Avg: 994877, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 510: HP: 323, STR: 312280, VIT: 98, SPD: 16, LUK: 1, Attack: 396403, Defense: 83987, Current HP: 323, A Avg: 1054431, D Avg: 83987, [Pinpoint(112)[230, 230, 230], Large iron Shield(206)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 509: HP: 340, STR: 312280, VIT: 99, SPD: 16, LUK: 1, Attack: 396403, Defense: 83975, Current HP: 340, A Avg: 1054431, D Avg: 83975, [Pinpoint(112)[230, 230, 230], Magic Shield(207)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 508: HP: 427, STR: 312280, VIT: 112, SPD: 16, LUK: 1, Attack: 396403, Defense: 83949, Current HP: 427, A Avg: 1054431, D Avg: 83949, [Pinpoint(112)[230, 230, 230], Emerald Shield(209)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 507: HP: 400, STR: 312280, VIT: 84, SPD: 16, LUK: 1, Attack: 396403, Defense: 83856, Current HP: 400, A Avg: 1054431, D Avg: 83856, [Pinpoint(112)[230, 230, 230], Clear Shield(211)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 506: HP: 440, STR: 312280, VIT: 99, SPD: 16, LUK: 1, Attack: 396403, Defense: 84118, Current HP: 440, A Avg: 1054431, D Avg: 84118, [Pinpoint(112)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 505: HP: 399, STR: 312280, VIT: 90, SPD: 16, LUK: 1, Attack: 396403, Defense: 84018, Current HP: 399, A Avg: 1054431, D Avg: 84018, [Pinpoint(112)[230, 230, 230], Tower Shield(213)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 504: HP: 566, STR: 312280, VIT: 150, SPD: 16, LUK: 1, Attack: 396403, Defense: 84712, Current HP: 566, A Avg: 1054431, D Avg: 84712, [Pinpoint(112)[230, 230, 230], Slime Shield(221)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 503: HP: 497, STR: 312280, VIT: 81, SPD: 16, LUK: 1, Attack: 396403, Defense: 84009, Current HP: 497, A Avg: 1054431, D Avg: 84009, [Pinpoint(112)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 502: HP: 340, STR: 312280, VIT: 403, SPD: 16, LUK: 1, Attack: 396403, Defense: 87191, Current HP: 340, A Avg: 1054431, D Avg: 87191, [Pinpoint(112)[230, 230, 230], Energy Shield(227)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 501: HP: 1529, STR: 312280, VIT: 66, SPD: 16, LUK: 1, Attack: 396403, Defense: 85983, Current HP: 1529, A Avg: 1054431, D Avg: 85983, [Pinpoint(112)[230, 230, 230], Frying Pan(231)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 500: HP: 724, STR: 312280, VIT: 180, SPD: 16, LUK: 1, Attack: 396403, Defense: 84914, Current HP: 724, A Avg: 1054431, D Avg: 84914, [Pinpoint(112)[230, 230, 230], Slafield(232)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 499: HP: 570, STR: 312280, VIT: 150, SPD: 16, LUK: 1, Attack: 396403, Defense: 85625, Current HP: 570, A Avg: 1054431, D Avg: 85625, [Pinpoint(112)[230, 230, 230], Mist Shield(233)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 498: HP: 513, STR: 312280, VIT: 219, SPD: 16, LUK: 1, Attack: 396403, Defense: 85187, Current HP: 513, A Avg: 1054431, D Avg: 85187, [Pinpoint(112)[230, 230, 230], Huge Shield(234)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 497: HP: 437, STR: 312280, VIT: 318, SPD: 16, LUK: 1, Attack: 396403, Defense: 87158, Current HP: 437, A Avg: 1054431, D Avg: 87158, [Pinpoint(112)[230, 230, 230], Aurora Shield(240)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 496: HP: 610, STR: 312280, VIT: 192, SPD: 16, LUK: 1, Attack: 396403, Defense: 87617, Current HP: 610, A Avg: 1054431, D Avg: 87617, [Pinpoint(112)[230, 230, 230], Cloud Shield(241)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 495: HP: 323, STR: 312280, VIT: 62, SPD: 16, LUK: 1, Attack: 396403, Defense: 86851, Current HP: 323, A Avg: 1054431, D Avg: 86851, [Pinpoint(112)[230, 230, 230], Graffiti(243)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 494: HP: 323, STR: 312280, VIT: 350, SPD: 16, LUK: 1, Attack: 396403, Defense: 90128, Current HP: 323, A Avg: 1054431, D Avg: 90128, [Pinpoint(112)[230, 230, 230], Blank Shield(244)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 493: HP: 798, STR: 312280, VIT: 618, SPD: 16, LUK: 1, Attack: 396403, Defense: 87406, Current HP: 798, A Avg: 1054431, D Avg: 87406, [Pinpoint(112)[230, 230, 230], Golem Shield(245)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 492: HP: 608, STR: 312280, VIT: 193, SPD: 17, LUK: 1, Attack: 396403, Defense: 86071, Current HP: 608, A Avg: 1054431, D Avg: 86071, [Pinpoint(112)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 491: HP: 756, STR: 312280, VIT: 243, SPD: 16, LUK: 1, Attack: 396403, Defense: 86459, Current HP: 756, A Avg: 1054431, D Avg: 86459, [Pinpoint(112)[230, 230, 230], King Shield(248)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 490: HP: 740, STR: 312280, VIT: 440, SPD: 16, LUK: 1, Attack: 396403, Defense: 87475, Current HP: 740, A Avg: 1054431, D Avg: 87475, [Pinpoint(112)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 489: HP: 340, STR: 312280, VIT: 235, SPD: 16, LUK: 1, Attack: 396403, Defense: 87283, Current HP: 340, A Avg: 1054431, D Avg: 87283, [Pinpoint(112)[230, 230, 230], Ghost shield(251)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 488: HP: 450, STR: 312319, VIT: 120, SPD: 16, LUK: 1, Attack: 396442, Defense: 84061, Current HP: 450, A Avg: 1054535, D Avg: 84061, [Pinpoint(112)[230, 230, 230], Dragon's Scales(215)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 487: HP: 450, STR: 312319, VIT: 120, SPD: 16, LUK: 1, Attack: 396442, Defense: 84061, Current HP: 450, A Avg: 1054535, D Avg: 84061, [Pinpoint(112)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 486: HP: 524, STR: 312343, VIT: 158, SPD: 16, LUK: 1, Attack: 396453, Defense: 84086, Current HP: 524, A Avg: 1054564, D Avg: 84086, [Dragon Killer(139)[230, 230, 230], Tower Shield(213)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 485: HP: 524, STR: 312343, VIT: 158, SPD: 16, LUK: 1, Attack: 396453, Defense: 84086, Current HP: 524, A Avg: 1054564, D Avg: 84086, [Dragon Killer(139)[230, 230, 230], Tower Shield(213)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 484: HP: 323, STR: 312335, VIT: 99, SPD: 17, LUK: 1, Attack: 396458, Defense: 84124, Current HP: 323, A Avg: 1054578, D Avg: 84124, [Pinpoint(112)[230, 230, 230], Conductive Barrier(208)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 483: HP: 323, STR: 312335, VIT: 99, SPD: 17, LUK: 1, Attack: 396458, Defense: 84124, Current HP: 323, A Avg: 1054578, D Avg: 84124, [Pinpoint(112)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 482: HP: 503, STR: 312354, VIT: 122, SPD: 16, LUK: 1, Attack: 396477, Defense: 84362, Current HP: 503, A Avg: 1054628, D Avg: 84362, [Pinpoint(112)[230, 230, 230], Dragon's Wings(216)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 481: HP: 503, STR: 312354, VIT: 122, SPD: 16, LUK: 1, Attack: 396477, Defense: 84362, Current HP: 503, A Avg: 1054628, D Avg: 84362, [Pinpoint(112)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 480: HP: 456, STR: 312366, VIT: 155, SPD: 16, LUK: 1, Attack: 396489, Defense: 85773, Current HP: 456, A Avg: 1054660, D Avg: 85773, [Pinpoint(112)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 479: HP: 456, STR: 312366, VIT: 155, SPD: 16, LUK: 1, Attack: 396489, Defense: 85773, Current HP: 456, A Avg: 1054660, D Avg: 85773, [Pinpoint(112)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 478: HP: 391, STR: 312370, VIT: 275, SPD: 16, LUK: 1, Attack: 396493, Defense: 85113, Current HP: 391, A Avg: 1054671, D Avg: 85113, [Pinpoint(112)[230, 230, 230], Bulletproof Shield(235)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 477: HP: 391, STR: 312370, VIT: 275, SPD: 16, LUK: 1, Attack: 396493, Defense: 85113, Current HP: 391, A Avg: 1054671, D Avg: 85113, [Pinpoint(112)[230, 230, 230], Bulletproof Shield(235)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 476: HP: 503, STR: 312409, VIT: 290, SPD: 16, LUK: 1, Attack: 396532, Defense: 87091, Current HP: 503, A Avg: 1054775, D Avg: 87091, [Pinpoint(112)[230, 230, 230], Riot(236)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 475: HP: 503, STR: 312409, VIT: 290, SPD: 16, LUK: 1, Attack: 396532, Defense: 87091, Current HP: 503, A Avg: 1054775, D Avg: 87091, [Pinpoint(112)[230, 230, 230], Riot(236)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 474: HP: 503, STR: 312409, VIT: 137, SPD: 16, LUK: 1, Attack: 396532, Defense: 85001, Current HP: 503, A Avg: 1054775, D Avg: 85001, [Pinpoint(112)[230, 230, 230], Dragon's Head(217)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 473: HP: 427, STR: 312409, VIT: 150, SPD: 17, LUK: 1, Attack: 396532, Defense: 84572, Current HP: 427, A Avg: 1054775, D Avg: 84572, [Pinpoint(112)[230, 230, 230], Superconducting Barrier(220)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 472: HP: 503, STR: 312409, VIT: 137, SPD: 16, LUK: 1, Attack: 396532, Defense: 85001, Current HP: 503, A Avg: 1054775, D Avg: 85001, [Pinpoint(112)[230, 230, 230], Dragon's Head(217)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 471: HP: 427, STR: 312409, VIT: 150, SPD: 17, LUK: 1, Attack: 396532, Defense: 84572, Current HP: 427, A Avg: 1054775, D Avg: 84572, [Pinpoint(112)[230, 230, 230], Superconducting Barrier(220)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 470: HP: 520, STR: 312292, VIT: 462, SPD: 16, LUK: 1, Attack: 396610, Defense: 87250, Current HP: 520, A Avg: 1054982, D Avg: 87250, [Ruby Knuckle(151)[230, 230, 230], Energy Shield(227)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 469: HP: 520, STR: 312292, VIT: 462, SPD: 16, LUK: 1, Attack: 396610, Defense: 87250, Current HP: 520, A Avg: 1054982, D Avg: 87250, [Ruby Knuckle(151)[230, 230, 230], Energy Shield(227)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 468: HP: 361, STR: 312491, VIT: 196, SPD: 16, LUK: 1, Attack: 396614, Defense: 84787, Current HP: 361, A Avg: 1054993, D Avg: 84787, [Pinpoint(112)[230, 230, 230], Black Hole(229)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 467: HP: 446, STR: 312491, VIT: 211, SPD: 16, LUK: 1, Attack: 396614, Defense: 87129, Current HP: 446, A Avg: 1054993, D Avg: 87129, [Pinpoint(112)[230, 230, 230], White Hole(230)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 466: HP: 361, STR: 312491, VIT: 196, SPD: 16, LUK: 1, Attack: 396614, Defense: 84787, Current HP: 361, A Avg: 1054993, D Avg: 84787, [Pinpoint(112)[230, 230, 230], Black Hole(229)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 465: HP: 446, STR: 312491, VIT: 211, SPD: 16, LUK: 1, Attack: 396614, Defense: 87129, Current HP: 446, A Avg: 1054993, D Avg: 87129, [Pinpoint(112)[230, 230, 230], White Hole(230)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 464: HP: 760, STR: 312651, VIT: 244, SPD: 16, LUK: 1, Attack: 396774, Defense: 86356, Current HP: 760, A Avg: 1055418, D Avg: 86356, [Pinpoint(112)[230, 230, 230], Goblin Hand(250)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 463: HP: 760, STR: 312651, VIT: 244, SPD: 16, LUK: 1, Attack: 396774, Defense: 86356, Current HP: 760, A Avg: 1055418, D Avg: 86356, [Pinpoint(112)[230, 230, 230], Goblin Hand(250)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 462: HP: 703, STR: 312690, VIT: 397, SPD: 16, LUK: 1, Attack: 396813, Defense: 85391, Current HP: 703, A Avg: 1055522, D Avg: 85391, [Pinpoint(112)[230, 230, 230], Metalization(228)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 461: HP: 703, STR: 312690, VIT: 397, SPD: 16, LUK: 1, Attack: 396813, Defense: 85391, Current HP: 703, A Avg: 1055522, D Avg: 85391, [Pinpoint(112)[230, 230, 230], Metalization(228)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 460: HP: 870, STR: 312312, VIT: 476, SPD: 16, LUK: 1, Attack: 396825, Defense: 87511, Current HP: 870, A Avg: 1055554, D Avg: 87511, [Maximum Iron Mass(123)[230, 230, 230], Warrior's Shield(249)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 459: HP: 870, STR: 312312, VIT: 476, SPD: 16, LUK: 1, Attack: 396825, Defense: 87511, Current HP: 870, A Avg: 1055554, D Avg: 87511, [Maximum Iron Mass(123)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 458: HP: 1824, STR: 312347, VIT: 236, SPD: 16, LUK: 1, Attack: 397055, Defense: 86153, Current HP: 1824, A Avg: 1056166, D Avg: 86153, [Thin Blade(158)[230, 230, 230], Frying Pan(231)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 457: HP: 540, STR: 312440, VIT: 491, SPD: 16, LUK: 1, Attack: 397090, Defense: 87279, Current HP: 540, A Avg: 1056259, D Avg: 87279, [Diamond Knuckle(152)[230, 230, 230], Energy Shield(227)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 456: HP: 540, STR: 312440, VIT: 491, SPD: 16, LUK: 1, Attack: 397090, Defense: 87279, Current HP: 540, A Avg: 1056259, D Avg: 87279, [Diamond Knuckle(152)[230, 230, 230], Energy Shield(227)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 455: HP: 418, STR: 312577, VIT: 202, SPD: 16, LUK: 1, Attack: 397233, Defense: 85170, Current HP: 418, A Avg: 1056639, D Avg: 85170, [Penetra(161)[230, 230, 230], Huge Shield(234)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 454: HP: 703, STR: 312561, VIT: 397, SPD: 16, LUK: 1, Attack: 397402, Defense: 85391, Current HP: 703, A Avg: 1057089, D Avg: 85391, [Grand Slam(163)[230, 230, 230], Metalization(228)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 453: HP: 703, STR: 312561, VIT: 397, SPD: 16, LUK: 1, Attack: 397402, Defense: 85391, Current HP: 703, A Avg: 1057089, D Avg: 85391, [Grand Slam(163)[230, 230, 230], Metalization(228)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 452: HP: 323, STR: 313306, VIT: 62, SPD: 17, LUK: 1, Attack: 397429, Defense: 84198, Current HP: 323, A Avg: 1057161, D Avg: 84198, [Pinpoint(112)[230, 230, 230], Magnum(237)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 451: HP: 323, STR: 313306, VIT: 62, SPD: 17, LUK: 1, Attack: 397429, Defense: 84198, Current HP: 323, A Avg: 1057161, D Avg: 84198, [Pinpoint(112)[230, 230, 230], Magnum(237)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 450: HP: 1539, STR: 312651, VIT: 141, SPD: 16, LUK: 1, Attack: 397489, Defense: 86058, Current HP: 1539, A Avg: 1057320, D Avg: 86058, [Willow Blade(157)[230, 230, 230], Frying Pan(231)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 449: HP: 579, STR: 312401, VIT: 198, SPD: 16, LUK: 1, Attack: 397733, Defense: 84126, Current HP: 579, A Avg: 1057969, D Avg: 84126, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 448: HP: 579, STR: 312401, VIT: 198, SPD: 16, LUK: 1, Attack: 397733, Defense: 84126, Current HP: 579, A Avg: 1057969, D Avg: 84126, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 447: HP: 323, STR: 313731, VIT: 62, SPD: 17, LUK: 1, Attack: 397854, Defense: 84406, Current HP: 323, A Avg: 1058291, D Avg: 84406, [Pinpoint(112)[230, 230, 230], V Magnum(238)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 446: HP: 323, STR: 313731, VIT: 62, SPD: 17, LUK: 1, Attack: 397854, Defense: 84406, Current HP: 323, A Avg: 1058291, D Avg: 84406, [Pinpoint(112)[230, 230, 230], V Magnum(238)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 445: HP: 240, STR: 298737, VIT: 203, SPD: 16, LUK: 1, Attack: 398003, Defense: 87251, Current HP: 240, A Avg: 1058687, D Avg: 87251, [Sword of Evil(189)[230, 230, 230], Ghost shield(251)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 444: HP: 240, STR: 312573, VIT: 334, SPD: 16, LUK: 1, Attack: 398217, Defense: 84057, Current HP: 240, A Avg: 1059257, D Avg: 84057, [Portal Sword(176)[230, 230, 230], Pot Lid(201)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 443: HP: 240, STR: 312573, VIT: 334, SPD: 16, LUK: 1, Attack: 398217, Defense: 84067, Current HP: 240, A Avg: 1059257, D Avg: 84067, [Portal Sword(176)[230, 230, 230], High Pot Lid(202)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 442: HP: 228, STR: 312573, VIT: 363, SPD: 16, LUK: 1, Attack: 398217, Defense: 84232, Current HP: 228, A Avg: 1059257, D Avg: 84232, [Portal Sword(176)[230, 230, 230], Wooden Shield(203)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 441: HP: 228, STR: 312573, VIT: 368, SPD: 16, LUK: 1, Attack: 398217, Defense: 84172, Current HP: 228, A Avg: 1059257, D Avg: 84172, [Portal Sword(176)[230, 230, 230], Iron Shield(204)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 440: HP: 228, STR: 312573, VIT: 370, SPD: 16, LUK: 1, Attack: 398217, Defense: 84233, Current HP: 228, A Avg: 1059257, D Avg: 84233, [Portal Sword(176)[230, 230, 230], Titanium Shield(205)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 439: HP: 228, STR: 312573, VIT: 387, SPD: 16, LUK: 1, Attack: 398217, Defense: 84276, Current HP: 228, A Avg: 1059257, D Avg: 84276, [Portal Sword(176)[230, 230, 230], Large iron Shield(206)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 438: HP: 240, STR: 312573, VIT: 371, SPD: 16, LUK: 1, Attack: 398217, Defense: 84247, Current HP: 240, A Avg: 1059257, D Avg: 84247, [Portal Sword(176)[230, 230, 230], Magic Shield(207)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 437: HP: 332, STR: 312573, VIT: 401, SPD: 16, LUK: 1, Attack: 398217, Defense: 84238, Current HP: 332, A Avg: 1059257, D Avg: 84238, [Portal Sword(176)[230, 230, 230], Emerald Shield(209)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 436: HP: 300, STR: 312573, VIT: 356, SPD: 16, LUK: 1, Attack: 398217, Defense: 84128, Current HP: 300, A Avg: 1059257, D Avg: 84128, [Portal Sword(176)[230, 230, 230], Clear Shield(211)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 435: HP: 340, STR: 312573, VIT: 371, SPD: 16, LUK: 1, Attack: 398217, Defense: 84390, Current HP: 340, A Avg: 1059257, D Avg: 84390, [Portal Sword(176)[230, 230, 230], Prism Shield(212)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 434: HP: 304, STR: 312573, VIT: 379, SPD: 16, LUK: 1, Attack: 398217, Defense: 84307, Current HP: 304, A Avg: 1059257, D Avg: 84307, [Portal Sword(176)[230, 230, 230], Tower Shield(213)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 433: HP: 466, STR: 312573, VIT: 422, SPD: 16, LUK: 1, Attack: 398217, Defense: 84984, Current HP: 466, A Avg: 1059257, D Avg: 84984, [Portal Sword(176)[230, 230, 230], Slime Shield(221)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 432: HP: 402, STR: 312573, VIT: 370, SPD: 16, LUK: 1, Attack: 398217, Defense: 84298, Current HP: 402, A Avg: 1059257, D Avg: 84298, [Portal Sword(176)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 431: HP: 240, STR: 312573, VIT: 675, SPD: 16, LUK: 1, Attack: 398217, Defense: 87463, Current HP: 240, A Avg: 1059257, D Avg: 87463, [Portal Sword(176)[230, 230, 230], Energy Shield(227)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 430: HP: 1434, STR: 312573, VIT: 355, SPD: 16, LUK: 1, Attack: 398217, Defense: 86272, Current HP: 1434, A Avg: 1059257, D Avg: 86272, [Portal Sword(176)[230, 230, 230], Frying Pan(231)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 429: HP: 624, STR: 312573, VIT: 452, SPD: 16, LUK: 1, Attack: 398217, Defense: 85186, Current HP: 624, A Avg: 1059257, D Avg: 85186, [Portal Sword(176)[230, 230, 230], Slafield(232)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 428: HP: 470, STR: 312573, VIT: 422, SPD: 16, LUK: 1, Attack: 398217, Defense: 85897, Current HP: 470, A Avg: 1059257, D Avg: 85897, [Portal Sword(176)[230, 230, 230], Mist Shield(233)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 427: HP: 418, STR: 312573, VIT: 508, SPD: 16, LUK: 1, Attack: 398217, Defense: 85476, Current HP: 418, A Avg: 1059257, D Avg: 85476, [Portal Sword(176)[230, 230, 230], Huge Shield(234)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 426: HP: 342, STR: 312573, VIT: 590, SPD: 16, LUK: 1, Attack: 398217, Defense: 87430, Current HP: 342, A Avg: 1059257, D Avg: 87430, [Portal Sword(176)[230, 230, 230], Aurora Shield(240)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 425: HP: 510, STR: 312573, VIT: 464, SPD: 16, LUK: 1, Attack: 398217, Defense: 87889, Current HP: 510, A Avg: 1059257, D Avg: 87889, [Portal Sword(176)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 424: HP: 228, STR: 312573, VIT: 334, SPD: 16, LUK: 1, Attack: 398217, Defense: 87123, Current HP: 228, A Avg: 1059257, D Avg: 87123, [Portal Sword(176)[230, 230, 230], Graffiti(243)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 423: HP: 228, STR: 312573, VIT: 622, SPD: 16, LUK: 1, Attack: 398217, Defense: 90400, Current HP: 228, A Avg: 1059257, D Avg: 90400, [Portal Sword(176)[230, 230, 230], Blank Shield(244)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 422: HP: 703, STR: 312573, VIT: 907, SPD: 16, LUK: 1, Attack: 398217, Defense: 87695, Current HP: 703, A Avg: 1059257, D Avg: 87695, [Portal Sword(176)[230, 230, 230], Golem Shield(245)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 421: HP: 513, STR: 312573, VIT: 465, SPD: 17, LUK: 1, Attack: 398217, Defense: 86343, Current HP: 513, A Avg: 1059257, D Avg: 86343, [Portal Sword(176)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 420: HP: 661, STR: 312573, VIT: 532, SPD: 16, LUK: 1, Attack: 398217, Defense: 86748, Current HP: 661, A Avg: 1059257, D Avg: 86748, [Portal Sword(176)[230, 230, 230], King Shield(248)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 419: HP: 640, STR: 312573, VIT: 712, SPD: 16, LUK: 1, Attack: 398217, Defense: 87747, Current HP: 640, A Avg: 1059257, D Avg: 87747, [Portal Sword(176)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 418: HP: 240, STR: 312573, VIT: 507, SPD: 16, LUK: 1, Attack: 398217, Defense: 87555, Current HP: 240, A Avg: 1059257, D Avg: 87555, [Portal Sword(176)[230, 230, 230], Ghost shield(251)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 417: HP: 355, STR: 312612, VIT: 409, SPD: 16, LUK: 1, Attack: 398256, Defense: 84350, Current HP: 355, A Avg: 1059360, D Avg: 84350, [Portal Sword(176)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 416: HP: 228, STR: 312627, VIT: 371, SPD: 17, LUK: 1, Attack: 398271, Defense: 84396, Current HP: 228, A Avg: 1059400, D Avg: 84396, [Portal Sword(176)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 415: HP: 408, STR: 312647, VIT: 411, SPD: 16, LUK: 1, Attack: 398291, Defense: 84651, Current HP: 408, A Avg: 1059454, D Avg: 84651, [Portal Sword(176)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 414: HP: 356, STR: 312659, VIT: 427, SPD: 16, LUK: 1, Attack: 398303, Defense: 86045, Current HP: 356, A Avg: 1059485, D Avg: 86045, [Portal Sword(176)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
