Rank 1000: HP: 1155, STR: 540554, VIT: 806, SPD: 56, LUK: 1, Attack: 624976, Defense: 87646, Current HP: 1155, A Avg: 1268701, D Avg: 87646, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 520: HP: 1273, STR: 418263, VIT: 1723, SPD: 56, LUK: 1, Attack: 502386, Defense: 88511, Current HP: 1273, A Avg: 1336346, D Avg: 88511, [Pinpoint(112)[630, 630, 630], Golem Shield(245)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 519: HP: 1083, STR: 418263, VIT: 553, SPD: 59, LUK: 1, Attack: 502386, Defense: 86431, Current HP: 1083, A Avg: 1336346, D Avg: 86431, [Pinpoint(112)[630, 630, 630], Sticky thread shield(247)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 518: HP: 1801, STR: 418263, VIT: 540, SPD: 56, LUK: 1, Attack: 502386, Defense: 86756, Current HP: 1801, A Avg: 1336346, D Avg: 86756, [Pinpoint(112)[630, 630, 630], King Shield(248)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 517: HP: 1240, STR: 418263, VIT: 640, SPD: 56, LUK: 1, Attack: 502386, Defense: 87675, Current HP: 1240, A Avg: 1336346, D Avg: 87675, [Pinpoint(112)[630, 630, 630], Warrior's Shield(249)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 516: HP: 840, STR: 418263, VIT: 755, SPD: 56, LUK: 1, Attack: 502386, Defense: 87803, Current HP: 840, A Avg: 1336346, D Avg: 87803, [Pinpoint(112)[630, 630, 630], Ghost shield(251)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 515: HP: 840, STR: 418263, VIT: 102, SPD: 56, LUK: 1, Attack: 502386, Defense: 83825, Current HP: 840, A Avg: 1336346, D Avg: 83825, [Pinpoint(112)[630, 630, 630], Pot Lid(201)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 514: HP: 840, STR: 418263, VIT: 102, SPD: 56, LUK: 1, Attack: 502386, Defense: 83835, Current HP: 840, A Avg: 1336346, D Avg: 83835, [Pinpoint(112)[630, 630, 630], High Pot Lid(202)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 513: HP: 798, STR: 418263, VIT: 117, SPD: 56, LUK: 1, Attack: 502386, Defense: 83986, Current HP: 798, A Avg: 1336346, D Avg: 83986, [Pinpoint(112)[630, 630, 630], Wooden Shield(203)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 512: HP: 798, STR: 418263, VIT: 122, SPD: 56, LUK: 1, Attack: 502386, Defense: 83926, Current HP: 798, A Avg: 1336346, D Avg: 83926, [Pinpoint(112)[630, 630, 630], Iron Shield(204)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 511: HP: 798, STR: 418263, VIT: 166, SPD: 56, LUK: 1, Attack: 502386, Defense: 84029, Current HP: 798, A Avg: 1336346, D Avg: 84029, [Pinpoint(112)[630, 630, 630], Titanium Shield(205)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 510: HP: 798, STR: 418263, VIT: 183, SPD: 56, LUK: 1, Attack: 502386, Defense: 84072, Current HP: 798, A Avg: 1336346, D Avg: 84072, [Pinpoint(112)[630, 630, 630], Large iron Shield(206)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 509: HP: 840, STR: 418263, VIT: 219, SPD: 56, LUK: 1, Attack: 502386, Defense: 84095, Current HP: 840, A Avg: 1336346, D Avg: 84095, [Pinpoint(112)[630, 630, 630], Magic Shield(207)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 508: HP: 1140, STR: 418263, VIT: 282, SPD: 56, LUK: 1, Attack: 502386, Defense: 84119, Current HP: 1140, A Avg: 1336346, D Avg: 84119, [Pinpoint(112)[630, 630, 630], Emerald Shield(209)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 507: HP: 900, STR: 418263, VIT: 164, SPD: 56, LUK: 1, Attack: 502386, Defense: 83936, Current HP: 900, A Avg: 1336346, D Avg: 83936, [Pinpoint(112)[630, 630, 630], Clear Shield(211)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 506: HP: 940, STR: 418263, VIT: 219, SPD: 56, LUK: 1, Attack: 502386, Defense: 84238, Current HP: 940, A Avg: 1336346, D Avg: 84238, [Pinpoint(112)[630, 630, 630], Prism Shield(212)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 505: HP: 874, STR: 418263, VIT: 175, SPD: 56, LUK: 1, Attack: 502386, Defense: 84103, Current HP: 874, A Avg: 1336346, D Avg: 84103, [Pinpoint(112)[630, 630, 630], Tower Shield(213)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 504: HP: 1416, STR: 418263, VIT: 390, SPD: 56, LUK: 1, Attack: 502386, Defense: 84952, Current HP: 1416, A Avg: 1336346, D Avg: 84952, [Pinpoint(112)[630, 630, 630], Slime Shield(221)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 503: HP: 1352, STR: 418263, VIT: 166, SPD: 56, LUK: 1, Attack: 502386, Defense: 84094, Current HP: 1352, A Avg: 1336346, D Avg: 84094, [Pinpoint(112)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 502: HP: 840, STR: 418263, VIT: 723, SPD: 56, LUK: 1, Attack: 502386, Defense: 87511, Current HP: 840, A Avg: 1336346, D Avg: 87511, [Pinpoint(112)[630, 630, 630], Energy Shield(227)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 501: HP: 2717, STR: 418263, VIT: 108, SPD: 56, LUK: 1, Attack: 502386, Defense: 86025, Current HP: 2717, A Avg: 1336346, D Avg: 86025, [Pinpoint(112)[630, 630, 630], Frying Pan(231)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 500: HP: 1624, STR: 418263, VIT: 460, SPD: 56, LUK: 1, Attack: 502386, Defense: 85194, Current HP: 1624, A Avg: 1336346, D Avg: 85194, [Pinpoint(112)[630, 630, 630], Slafield(232)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 499: HP: 1320, STR: 418263, VIT: 390, SPD: 56, LUK: 1, Attack: 502386, Defense: 85865, Current HP: 1320, A Avg: 1336346, D Avg: 85865, [Pinpoint(112)[630, 630, 630], Mist Shield(233)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 498: HP: 988, STR: 418263, VIT: 686, SPD: 56, LUK: 1, Attack: 502386, Defense: 85654, Current HP: 988, A Avg: 1336346, D Avg: 85654, [Pinpoint(112)[630, 630, 630], Huge Shield(234)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 497: HP: 912, STR: 418263, VIT: 758, SPD: 56, LUK: 1, Attack: 502386, Defense: 87598, Current HP: 912, A Avg: 1336346, D Avg: 87598, [Pinpoint(112)[630, 630, 630], Aurora Shield(240)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 496: HP: 1860, STR: 418263, VIT: 592, SPD: 56, LUK: 1, Attack: 502386, Defense: 88017, Current HP: 1860, A Avg: 1336346, D Avg: 88017, [Pinpoint(112)[630, 630, 630], Cloud Shield(241)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 495: HP: 798, STR: 418263, VIT: 102, SPD: 56, LUK: 1, Attack: 502386, Defense: 86891, Current HP: 798, A Avg: 1336346, D Avg: 86891, [Pinpoint(112)[630, 630, 630], Graffiti(243)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 494: HP: 798, STR: 418263, VIT: 1190, SPD: 56, LUK: 1, Attack: 502386, Defense: 90968, Current HP: 798, A Avg: 1336346, D Avg: 90968, [Pinpoint(112)[630, 630, 630], Blank Shield(244)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 493: HP: 1273, STR: 418263, VIT: 1723, SPD: 56, LUK: 1, Attack: 502386, Defense: 88511, Current HP: 1273, A Avg: 1336346, D Avg: 88511, [Pinpoint(112)[630, 630, 630], Golem Shield(245)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 492: HP: 1083, STR: 418263, VIT: 553, SPD: 59, LUK: 1, Attack: 502386, Defense: 86431, Current HP: 1083, A Avg: 1336346, D Avg: 86431, [Pinpoint(112)[630, 630, 630], Sticky thread shield(247)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 491: HP: 1801, STR: 418263, VIT: 540, SPD: 56, LUK: 1, Attack: 502386, Defense: 86756, Current HP: 1801, A Avg: 1336346, D Avg: 86756, [Pinpoint(112)[630, 630, 630], King Shield(248)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 490: HP: 1240, STR: 418263, VIT: 640, SPD: 56, LUK: 1, Attack: 502386, Defense: 87675, Current HP: 1240, A Avg: 1336346, D Avg: 87675, [Pinpoint(112)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 489: HP: 840, STR: 418263, VIT: 755, SPD: 56, LUK: 1, Attack: 502386, Defense: 87803, Current HP: 840, A Avg: 1336346, D Avg: 87803, [Pinpoint(112)[630, 630, 630], Ghost shield(251)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 488: HP: 1067, STR: 418302, VIT: 290, SPD: 56, LUK: 1, Attack: 502425, Defense: 84231, Current HP: 1067, A Avg: 1336450, D Avg: 84231, [Pinpoint(112)[630, 630, 630], Dragon's Scales(215)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 487: HP: 1067, STR: 418302, VIT: 290, SPD: 56, LUK: 1, Attack: 502425, Defense: 84231, Current HP: 1067, A Avg: 1336450, D Avg: 84231, [Pinpoint(112)[630, 630, 630], Dragon's Scales(215)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 486: HP: 798, STR: 418415, VIT: 219, SPD: 59, LUK: 1, Attack: 502538, Defense: 84244, Current HP: 798, A Avg: 1336751, D Avg: 84244, [Pinpoint(112)[630, 630, 630], Conductive Barrier(208)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 485: HP: 798, STR: 418415, VIT: 219, SPD: 59, LUK: 1, Attack: 502538, Defense: 84244, Current HP: 798, A Avg: 1336751, D Avg: 84244, [Pinpoint(112)[630, 630, 630], Conductive Barrier(208)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 484: HP: 1216, STR: 418434, VIT: 292, SPD: 56, LUK: 1, Attack: 502557, Defense: 84532, Current HP: 1216, A Avg: 1336801, D Avg: 84532, [Pinpoint(112)[630, 630, 630], Dragon's Wings(216)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 483: HP: 1216, STR: 418434, VIT: 292, SPD: 56, LUK: 1, Attack: 502557, Defense: 84532, Current HP: 1216, A Avg: 1336801, D Avg: 84532, [Pinpoint(112)[630, 630, 630], Dragon's Wings(216)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 482: HP: 2964, STR: 418622, VIT: 380, SPD: 56, LUK: 1, Attack: 502563, Defense: 86297, Current HP: 2964, A Avg: 1336817, D Avg: 86297, [Rusty Knife(156)[630, 630, 630], Frying Pan(231)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 481: HP: 1256, STR: 418544, VIT: 435, SPD: 56, LUK: 1, Attack: 502667, Defense: 86053, Current HP: 1256, A Avg: 1337094, D Avg: 86053, [Pinpoint(112)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 480: HP: 1256, STR: 418544, VIT: 435, SPD: 56, LUK: 1, Attack: 502667, Defense: 86053, Current HP: 1256, A Avg: 1337094, D Avg: 86053, [Pinpoint(112)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 479: HP: 1056, STR: 418548, VIT: 615, SPD: 56, LUK: 1, Attack: 502671, Defense: 85453, Current HP: 1056, A Avg: 1337104, D Avg: 85453, [Pinpoint(112)[630, 630, 630], Bulletproof Shield(235)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 478: HP: 1056, STR: 418548, VIT: 615, SPD: 56, LUK: 1, Attack: 502671, Defense: 85453, Current HP: 1056, A Avg: 1337104, D Avg: 85453, [Pinpoint(112)[630, 630, 630], Bulletproof Shield(235)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 477: HP: 1216, STR: 418587, VIT: 350, SPD: 56, LUK: 1, Attack: 502710, Defense: 85214, Current HP: 1216, A Avg: 1337208, D Avg: 85214, [Pinpoint(112)[630, 630, 630], Dragon's Head(217)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 476: HP: 1140, STR: 418587, VIT: 390, SPD: 59, LUK: 1, Attack: 502710, Defense: 84812, Current HP: 1140, A Avg: 1337208, D Avg: 84812, [Pinpoint(112)[630, 630, 630], Superconducting Barrier(220)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 475: HP: 1216, STR: 418587, VIT: 350, SPD: 56, LUK: 1, Attack: 502710, Defense: 85214, Current HP: 1216, A Avg: 1337208, D Avg: 85214, [Pinpoint(112)[630, 630, 630], Dragon's Head(217)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 474: HP: 1140, STR: 418587, VIT: 390, SPD: 59, LUK: 1, Attack: 502710, Defense: 84812, Current HP: 1140, A Avg: 1337208, D Avg: 84812, [Pinpoint(112)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 473: HP: 1189, STR: 418618, VIT: 413, SPD: 56, LUK: 1, Attack: 502728, Defense: 84341, Current HP: 1189, A Avg: 1337256, D Avg: 84341, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 472: HP: 1189, STR: 418618, VIT: 413, SPD: 56, LUK: 1, Attack: 502728, Defense: 84341, Current HP: 1189, A Avg: 1337256, D Avg: 84341, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 471: HP: 1760, STR: 418930, VIT: 524, SPD: 56, LUK: 1, Attack: 502754, Defense: 86636, Current HP: 1760, A Avg: 1337325, D Avg: 86636, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 470: HP: 1760, STR: 418930, VIT: 524, SPD: 56, LUK: 1, Attack: 502754, Defense: 86636, Current HP: 1760, A Avg: 1337325, D Avg: 86636, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 469: HP: 1520, STR: 418470, VIT: 902, SPD: 56, LUK: 1, Attack: 502788, Defense: 87690, Current HP: 1520, A Avg: 1337416, D Avg: 87690, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 468: HP: 1520, STR: 418470, VIT: 902, SPD: 56, LUK: 1, Attack: 502788, Defense: 87690, Current HP: 1520, A Avg: 1337416, D Avg: 87690, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 467: HP: 1216, STR: 418684, VIT: 673, SPD: 56, LUK: 1, Attack: 502807, Defense: 87474, Current HP: 1216, A Avg: 1337466, D Avg: 87474, [Pinpoint(112)[630, 630, 630], Riot(236)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 466: HP: 1216, STR: 418684, VIT: 673, SPD: 56, LUK: 1, Attack: 502807, Defense: 87474, Current HP: 1216, A Avg: 1337466, D Avg: 87474, [Pinpoint(112)[630, 630, 630], Riot(236)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 465: HP: 1620, STR: 418489, VIT: 756, SPD: 56, LUK: 1, Attack: 503002, Defense: 87791, Current HP: 1620, A Avg: 1337985, D Avg: 87791, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 464: HP: 1620, STR: 418489, VIT: 756, SPD: 56, LUK: 1, Attack: 503002, Defense: 87791, Current HP: 1620, A Avg: 1337985, D Avg: 87791, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 463: HP: 836, STR: 419058, VIT: 476, SPD: 56, LUK: 1, Attack: 503181, Defense: 85067, Current HP: 836, A Avg: 1338461, D Avg: 85067, [Pinpoint(112)[630, 630, 630], Black Hole(229)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 462: HP: 1159, STR: 419058, VIT: 531, SPD: 56, LUK: 1, Attack: 503181, Defense: 87449, Current HP: 1159, A Avg: 1338461, D Avg: 87449, [Pinpoint(112)[630, 630, 630], White Hole(230)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 461: HP: 836, STR: 419058, VIT: 476, SPD: 56, LUK: 1, Attack: 503181, Defense: 85067, Current HP: 836, A Avg: 1338461, D Avg: 85067, [Pinpoint(112)[630, 630, 630], Black Hole(229)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 460: HP: 1159, STR: 419058, VIT: 531, SPD: 56, LUK: 1, Attack: 503181, Defense: 87449, Current HP: 1159, A Avg: 1338461, D Avg: 87449, [Pinpoint(112)[630, 630, 630], White Hole(230)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 459: HP: 1760, STR: 419121, VIT: 524, SPD: 56, LUK: 1, Attack: 503244, Defense: 86636, Current HP: 1760, A Avg: 1338629, D Avg: 86636, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 458: HP: 1760, STR: 419121, VIT: 524, SPD: 56, LUK: 1, Attack: 503244, Defense: 86636, Current HP: 1760, A Avg: 1338629, D Avg: 86636, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 457: HP: 1178, STR: 419160, VIT: 652, SPD: 56, LUK: 1, Attack: 503283, Defense: 85646, Current HP: 1178, A Avg: 1338732, D Avg: 85646, [Pinpoint(112)[630, 630, 630], Metalization(228)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 456: HP: 1178, STR: 419160, VIT: 652, SPD: 56, LUK: 1, Attack: 503283, Defense: 85646, Current HP: 1178, A Avg: 1338732, D Avg: 85646, [Pinpoint(112)[630, 630, 630], Metalization(228)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 455: HP: 3724, STR: 418622, VIT: 703, SPD: 56, LUK: 1, Attack: 503330, Defense: 86620, Current HP: 3724, A Avg: 1338857, D Avg: 86620, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 454: HP: 1540, STR: 418813, VIT: 1011, SPD: 56, LUK: 1, Attack: 503463, Defense: 87799, Current HP: 1540, A Avg: 1339211, D Avg: 87799, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 453: HP: 1540, STR: 418813, VIT: 1011, SPD: 56, LUK: 1, Attack: 503463, Defense: 87799, Current HP: 1540, A Avg: 1339211, D Avg: 87799, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 452: HP: 1178, STR: 418836, VIT: 652, SPD: 56, LUK: 1, Attack: 503677, Defense: 85646, Current HP: 1178, A Avg: 1339780, D Avg: 85646, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 451: HP: 1178, STR: 418836, VIT: 652, SPD: 56, LUK: 1, Attack: 503677, Defense: 85646, Current HP: 1178, A Avg: 1339780, D Avg: 85646, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 450: HP: 893, STR: 419437, VIT: 669, SPD: 56, LUK: 1, Attack: 504093, Defense: 85637, Current HP: 893, A Avg: 1340887, D Avg: 85637, [Penetra(161)[630, 630, 630], Huge Shield(234)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 449: HP: 798, STR: 419971, VIT: 102, SPD: 59, LUK: 1, Attack: 504094, Defense: 84238, Current HP: 798, A Avg: 1340890, D Avg: 84238, [Pinpoint(112)[630, 630, 630], Magnum(237)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 448: HP: 798, STR: 419971, VIT: 102, SPD: 59, LUK: 1, Attack: 504094, Defense: 84238, Current HP: 798, A Avg: 1340890, D Avg: 84238, [Pinpoint(112)[630, 630, 630], Magnum(237)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 447: HP: 1292, STR: 418774, VIT: 538, SPD: 56, LUK: 1, Attack: 504106, Defense: 84466, Current HP: 1292, A Avg: 1340921, D Avg: 84466, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 446: HP: 1292, STR: 418774, VIT: 538, SPD: 56, LUK: 1, Attack: 504106, Defense: 84466, Current HP: 1292, A Avg: 1340921, D Avg: 84466, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 445: HP: 2964, STR: 419608, VIT: 438, SPD: 56, LUK: 1, Attack: 504446, Defense: 86355, Current HP: 2964, A Avg: 1341826, D Avg: 86355, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 444: HP: 798, STR: 420494, VIT: 102, SPD: 59, LUK: 1, Attack: 504617, Defense: 84446, Current HP: 798, A Avg: 1342281, D Avg: 84446, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 443: HP: 798, STR: 420494, VIT: 102, SPD: 59, LUK: 1, Attack: 504617, Defense: 84446, Current HP: 798, A Avg: 1342281, D Avg: 84446, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 442: HP: 740, STR: 419530, VIT: 1174, SPD: 56, LUK: 1, Attack: 505174, Defense: 84897, Current HP: 740, A Avg: 1343762, D Avg: 84897, [Portal Sword(176)[630, 630, 630], Pot Lid(201)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 441: HP: 740, STR: 419530, VIT: 1174, SPD: 56, LUK: 1, Attack: 505174, Defense: 84907, Current HP: 740, A Avg: 1343762, D Avg: 84907, [Portal Sword(176)[630, 630, 630], High Pot Lid(202)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 440: HP: 703, STR: 419530, VIT: 1256, SPD: 56, LUK: 1, Attack: 505174, Defense: 85125, Current HP: 703, A Avg: 1343762, D Avg: 85125, [Portal Sword(176)[630, 630, 630], Wooden Shield(203)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 439: HP: 703, STR: 419530, VIT: 1261, SPD: 56, LUK: 1, Attack: 505174, Defense: 85065, Current HP: 703, A Avg: 1343762, D Avg: 85065, [Portal Sword(176)[630, 630, 630], Iron Shield(204)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 438: HP: 703, STR: 419530, VIT: 1305, SPD: 56, LUK: 1, Attack: 505174, Defense: 85168, Current HP: 703, A Avg: 1343762, D Avg: 85168, [Portal Sword(176)[630, 630, 630], Titanium Shield(205)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 437: HP: 703, STR: 419530, VIT: 1322, SPD: 56, LUK: 1, Attack: 505174, Defense: 85211, Current HP: 703, A Avg: 1343762, D Avg: 85211, [Portal Sword(176)[630, 630, 630], Large iron Shield(206)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 436: HP: 740, STR: 419530, VIT: 1291, SPD: 56, LUK: 1, Attack: 505174, Defense: 85167, Current HP: 740, A Avg: 1343762, D Avg: 85167, [Portal Sword(176)[630, 630, 630], Magic Shield(207)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 435: HP: 1045, STR: 419530, VIT: 1421, SPD: 56, LUK: 1, Attack: 505174, Defense: 85258, Current HP: 1045, A Avg: 1343762, D Avg: 85258, [Portal Sword(176)[630, 630, 630], Emerald Shield(209)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 434: HP: 800, STR: 419530, VIT: 1236, SPD: 56, LUK: 1, Attack: 505174, Defense: 85008, Current HP: 800, A Avg: 1343762, D Avg: 85008, [Portal Sword(176)[630, 630, 630], Clear Shield(211)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 433: HP: 840, STR: 419530, VIT: 1291, SPD: 56, LUK: 1, Attack: 505174, Defense: 85310, Current HP: 840, A Avg: 1343762, D Avg: 85310, [Portal Sword(176)[630, 630, 630], Prism Shield(212)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 432: HP: 779, STR: 419530, VIT: 1314, SPD: 56, LUK: 1, Attack: 505174, Defense: 85242, Current HP: 779, A Avg: 1343762, D Avg: 85242, [Portal Sword(176)[630, 630, 630], Tower Shield(213)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 431: HP: 1316, STR: 419530, VIT: 1462, SPD: 56, LUK: 1, Attack: 505174, Defense: 86024, Current HP: 1316, A Avg: 1343762, D Avg: 86024, [Portal Sword(176)[630, 630, 630], Slime Shield(221)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 430: HP: 1257, STR: 419530, VIT: 1305, SPD: 56, LUK: 1, Attack: 505174, Defense: 85233, Current HP: 1257, A Avg: 1343762, D Avg: 85233, [Portal Sword(176)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 429: HP: 740, STR: 419530, VIT: 1795, SPD: 56, LUK: 1, Attack: 505174, Defense: 88583, Current HP: 740, A Avg: 1343762, D Avg: 88583, [Portal Sword(176)[630, 630, 630], Energy Shield(227)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 428: HP: 2622, STR: 419530, VIT: 1247, SPD: 56, LUK: 1, Attack: 505174, Defense: 87164, Current HP: 2622, A Avg: 1343762, D Avg: 87164, [Portal Sword(176)[630, 630, 630], Frying Pan(231)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 427: HP: 1524, STR: 419530, VIT: 1532, SPD: 56, LUK: 1, Attack: 505174, Defense: 86266, Current HP: 1524, A Avg: 1343762, D Avg: 86266, [Portal Sword(176)[630, 630, 630], Slafield(232)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 426: HP: 1220, STR: 419530, VIT: 1462, SPD: 56, LUK: 1, Attack: 505174, Defense: 86937, Current HP: 1220, A Avg: 1343762, D Avg: 86937, [Portal Sword(176)[630, 630, 630], Mist Shield(233)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 425: HP: 893, STR: 419530, VIT: 1825, SPD: 56, LUK: 1, Attack: 505174, Defense: 86793, Current HP: 893, A Avg: 1343762, D Avg: 86793, [Portal Sword(176)[630, 630, 630], Huge Shield(234)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 424: HP: 817, STR: 419530, VIT: 1830, SPD: 56, LUK: 1, Attack: 505174, Defense: 88670, Current HP: 817, A Avg: 1343762, D Avg: 88670, [Portal Sword(176)[630, 630, 630], Aurora Shield(240)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
