Rank 38671: 1901 - [10534, 7069, 696] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 262579, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 803]]
Rank 41202: 1565 - [12171, 4689, 1439] - HP: 140708, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 140708, A Avg: 212630, D Avg: 113482, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 41204: 2491 - [11609, 6377, 313] - HP: 31407, STR: 91274, VIT: 103070, SPD: 32, LUK: 2, Attack: 183460, Defense: 192848, Current HP: 31407, A Avg: 229325, D Avg: 192848, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 41207: 2477 - [11708, 6083, 508] - HP: 48633, STR: 76846, VIT: 109835, SPD: 32, LUK: 1, Attack: 169032, Defense: 196623, Current HP: 48633, A Avg: 177483, D Avg: 196623, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 41207: 2527 - [11708, 6083, 508] - HP: 48633, STR: 76846, VIT: 109835, SPD: 32, LUK: 1, Attack: 169032, Defense: 196623, Current HP: 48633, A Avg: 177483, D Avg: 196623, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 41209: 2481 - [11611, 6376, 312] - HP: 31407, STR: 91274, VIT: 103070, SPD: 32, LUK: 2, Attack: 183460, Defense: 192848, Current HP: 31407, A Avg: 231159, D Avg: 192848, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 41210: 2924 - [11666, 6212, 421] - HP: 1577, STR: 160278, VIT: 77638, SPD: 32, LUK: 2, Attack: 252464, Defense: 165206, Current HP: 1577, A Avg: 271398, D Avg: 165206, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 41212: 2376 - [11682, 6166, 451] - HP: 50415, STR: 128046, VIT: 51528, SPD: 32, LUK: 1, Attack: 220232, Defense: 138953, Current HP: 50415, A Avg: 275290, D Avg: 138953, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41220: 1962 - [11944, 5388, 967] - HP: 94018, STR: 104028, VIT: 51926, SPD: 32, LUK: 1, Attack: 193937, Defense: 141704, Current HP: 94018, A Avg: 208482, D Avg: 141704, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 41220: 2010 - [11862, 5634, 803] - HP: 94308, STR: 76846, VIT: 77462, SPD: 32, LUK: 1, Attack: 169032, Defense: 167240, Current HP: 94308, A Avg: 211290, D Avg: 167240, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 41221: 1537 - [12321, 4258, 1720] - HP: 141433, STR: 102446, VIT: 28235, SPD: 32, LUK: 1, Attack: 194632, Defense: 115023, Current HP: 141433, A Avg: 243290, D Avg: 115023, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 41224: 2366 - [11686, 6166, 447] - HP: 50415, STR: 128046, VIT: 51528, SPD: 32, LUK: 1, Attack: 220232, Defense: 138953, Current HP: 50415, A Avg: 277492, D Avg: 138953, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 41225: 483 - [11672, 6209, 418] - HP: 2378, STR: 163419, VIT: 77630, SPD: 32, LUK: 1, Attack: 255605, Defense: 165198, Current HP: 2378, A Avg: 268385, D Avg: 165198, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 41228: 389 - [11726, 6050, 523] - HP: 31217, STR: 155244, VIT: 51934, SPD: 32, LUK: 2, Attack: 245153, Defense: 141712, Current HP: 31217, A Avg: 257410, D Avg: 141712, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 41231: 2000 - [11866, 5633, 800] - HP: 94308, STR: 76846, VIT: 77462, SPD: 32, LUK: 1, Attack: 169032, Defense: 167240, Current HP: 94308, A Avg: 212980, D Avg: 167240, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 41234: 2507 - [11716, 6086, 497] - HP: 48633, STR: 76846, VIT: 109835, SPD: 32, LUK: 1, Attack: 169032, Defense: 196623, Current HP: 48633, A Avg: 181709, D Avg: 196623, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 41235: 2372 - [11693, 6156, 450] - HP: 47618, STR: 129628, VIT: 51926, SPD: 32, LUK: 1, Attack: 219537, Defense: 141704, Current HP: 47618, A Avg: 274421, D Avg: 141704, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41238: 2362 - [11694, 6156, 449] - HP: 47618, STR: 129628, VIT: 51926, SPD: 32, LUK: 1, Attack: 219537, Defense: 141704, Current HP: 47618, A Avg: 276616, D Avg: 141704, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 41239: 485 - [11672, 6223, 404] - HP: 1508, STR: 164719, VIT: 76854, SPD: 32, LUK: 1, Attack: 256905, Defense: 164682, Current HP: 1508, A Avg: 269750, D Avg: 164682, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 41240: 1930 - [11942, 5414, 943] - HP: 94308, STR: 102446, VIT: 51862, SPD: 32, LUK: 1, Attack: 194632, Defense: 141640, Current HP: 94308, A Avg: 204363, D Avg: 141640, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 41240: 1980 - [11942, 5414, 943] - HP: 94308, STR: 102446, VIT: 51862, SPD: 32, LUK: 1, Attack: 194632, Defense: 141640, Current HP: 94308, A Avg: 204363, D Avg: 141640, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 41241: 2353 - [11694, 6159, 446] - HP: 48778, STR: 136219, VIT: 52030, SPD: 32, LUK: 1, Attack: 228405, Defense: 139598, Current HP: 48778, A Avg: 239825, D Avg: 139598, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 41241: 2403 - [11694, 6159, 446] - HP: 48778, STR: 136219, VIT: 52030, SPD: 32, LUK: 1, Attack: 228405, Defense: 139598, Current HP: 48778, A Avg: 239825, D Avg: 139598, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 41255: 2516 - [11755, 5990, 554] - HP: 50415, STR: 76846, VIT: 102728, SPD: 32, LUK: 1, Attack: 169032, Defense: 190153, Current HP: 50415, A Avg: 177483, D Avg: 228183, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 41263: 1536 - [12377, 4132, 1790] - HP: 146415, STR: 102446, VIT: 25928, SPD: 32, LUK: 1, Attack: 194632, Defense: 113353, Current HP: 146415, A Avg: 243290, D Avg: 113353, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 41269: 1993 - [11859, 5692, 748] - HP: 95178, STR: 81819, VIT: 77630, SPD: 32, LUK: 1, Attack: 174005, Defense: 165198, Current HP: 95178, A Avg: 182705, D Avg: 165198, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 41269: 2025 - [11846, 5731, 722] - HP: 94308, STR: 83119, VIT: 76854, SPD: 32, LUK: 1, Attack: 175305, Defense: 164682, Current HP: 94308, A Avg: 188452, D Avg: 164682, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 41269: 2043 - [11859, 5692, 748] - HP: 95178, STR: 81819, VIT: 77630, SPD: 32, LUK: 1, Attack: 174005, Defense: 165198, Current HP: 95178, A Avg: 182705, D Avg: 165198, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 41271: 2970 - [11727, 6090, 482] - HP: 1508, STR: 102446, VIT: 103062, SPD: 32, LUK: 1, Attack: 194632, Defense: 192840, Current HP: 1508, A Avg: 243290, D Avg: 192840, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41276: 480 - [11774, 5954, 571] - HP: 1508, STR: 153646, VIT: 77462, SPD: 32, LUK: 1, Attack: 245832, Defense: 167240, Current HP: 1508, A Avg: 258123, D Avg: 167240, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 41279: 2960 - [11728, 6095, 476] - HP: 1508, STR: 102446, VIT: 103062, SPD: 32, LUK: 1, Attack: 194632, Defense: 192840, Current HP: 1508, A Avg: 245236, D Avg: 192840, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 41280: 1875 - [11775, 5955, 569] - HP: 94308, STR: 137519, VIT: 25654, SPD: 32, LUK: 1, Attack: 229705, Defense: 113482, Current HP: 94308, A Avg: 241190, D Avg: 113482, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 41280: 1925 - [11775, 5955, 569] - HP: 94308, STR: 137519, VIT: 25654, SPD: 32, LUK: 1, Attack: 229705, Defense: 113482, Current HP: 94308, A Avg: 241190, D Avg: 113482, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 41281: 2385 - [11684, 6229, 386] - HP: 47908, STR: 137519, VIT: 51254, SPD: 32, LUK: 1, Attack: 229705, Defense: 139082, Current HP: 47908, A Avg: 246932, D Avg: 139082, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 41289: 2458 - [13016, 2241, 3042] - HP: 33364, STR: 235882, VIT: 78040, SPD: 38, LUK: 1, Attack: 321695, Defense: 167818, Current HP: 33364, A Avg: 337779, D Avg: 201381, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 230, 330], Black Box[323, 330, 330, 806]]
Rank 41289: 7018 - [12581, 3546, 2172] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 258118, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 68]]
Rank 41291: 1543 - [12231, 4598, 1470] - HP: 141578, STR: 109019, VIT: 26430, SPD: 32, LUK: 1, Attack: 201205, Defense: 113998, Current HP: 141578, A Avg: 216295, D Avg: 113998, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 41292: 1527 - [12353, 4233, 1713] - HP: 141433, STR: 102446, VIT: 28235, SPD: 32, LUK: 1, Attack: 194632, Defense: 115023, Current HP: 141433, A Avg: 245236, D Avg: 115023, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 41302: 2492 - [11734, 6100, 465] - HP: 47618, STR: 78428, VIT: 103126, SPD: 32, LUK: 1, Attack: 168337, Defense: 192904, Current HP: 47618, A Avg: 210421, D Avg: 192904, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41302: 7008 - [12584, 3550, 2165] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 260183, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 67]]
Rank 41305: 2482 - [11735, 6100, 464] - HP: 47618, STR: 78428, VIT: 103126, SPD: 32, LUK: 1, Attack: 168337, Defense: 192904, Current HP: 47618, A Avg: 212104, D Avg: 192904, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 41308: 1971 - [11818, 5854, 627] - HP: 61807, STR: 121674, VIT: 51870, SPD: 32, LUK: 2, Attack: 213860, Defense: 141648, Current HP: 61807, A Avg: 224553, D Avg: 169977, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 41319: 7068 - [12589, 3552, 2158] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 266378, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 803]]
Rank 41320: 2023 - [11882, 5674, 743] - HP: 95178, STR: 81819, VIT: 77630, SPD: 32, LUK: 1, Attack: 174005, Defense: 165198, Current HP: 95178, A Avg: 187055, D Avg: 165198, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 41322: 2396 - [11802, 5916, 581] - HP: 50415, STR: 128046, VIT: 51528, SPD: 32, LUK: 1, Attack: 220232, Defense: 138953, Current HP: 50415, A Avg: 231243, D Avg: 166743, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 41336: 1526 - [12409, 4109, 1781] - HP: 146415, STR: 102446, VIT: 25928, SPD: 32, LUK: 1, Attack: 194632, Defense: 113353, Current HP: 146415, A Avg: 245236, D Avg: 113353, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 41337: 2370 - [11730, 6147, 422] - HP: 47908, STR: 128046, VIT: 51862, SPD: 32, LUK: 1, Attack: 220232, Defense: 141640, Current HP: 47908, A Avg: 275290, D Avg: 141640, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41348: 2360 - [11735, 6143, 421] - HP: 47908, STR: 128046, VIT: 51862, SPD: 32, LUK: 1, Attack: 220232, Defense: 141640, Current HP: 47908, A Avg: 277492, D Avg: 141640, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 41351: 7098 - [12597, 3560, 2142] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 283930, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 803]]
Rank 41353: 2496 - [11746, 6115, 438] - HP: 50415, STR: 76846, VIT: 102728, SPD: 32, LUK: 1, Attack: 169032, Defense: 190153, Current HP: 50415, A Avg: 211290, D Avg: 190153, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41361: 2486 - [11749, 6114, 436] - HP: 50415, STR: 76846, VIT: 102728, SPD: 32, LUK: 1, Attack: 169032, Defense: 190153, Current HP: 50415, A Avg: 212980, D Avg: 190153, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 41369: 1914 - [11676, 6341, 282] - HP: 62377, STR: 160278, VIT: 26438, SPD: 32, LUK: 2, Attack: 252464, Defense: 114006, Current HP: 62377, A Avg: 265087, D Avg: 136807, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 806]]
Rank 41372: 1873 - [11826, 5894, 579] - HP: 95178, STR: 136219, VIT: 26430, SPD: 32, LUK: 1, Attack: 228405, Defense: 113998, Current HP: 95178, A Avg: 239825, D Avg: 113998, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 41372: 1923 - [11826, 5894, 579] - HP: 95178, STR: 136219, VIT: 26430, SPD: 32, LUK: 1, Attack: 228405, Defense: 113998, Current HP: 95178, A Avg: 239825, D Avg: 113998, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 41373: 2512 - [11810, 5943, 546] - HP: 47618, STR: 78428, VIT: 103126, SPD: 32, LUK: 1, Attack: 168337, Defense: 192904, Current HP: 47618, A Avg: 176753, D Avg: 231484, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 41383: 7118 - [12608, 3559, 2132] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 299417, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 807]]
Rank 41384: 2383 - [11747, 6143, 409] - HP: 48778, STR: 136219, VIT: 52030, SPD: 32, LUK: 1, Attack: 228405, Defense: 139598, Current HP: 48778, A Avg: 245535, D Avg: 139598, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 41387: 1937 - [12008, 5363, 928] - HP: 95033, STR: 102446, VIT: 55435, SPD: 32, LUK: 1, Attack: 194632, Defense: 142223, Current HP: 95033, A Avg: 204363, D Avg: 142223, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 41387: 1987 - [12008, 5363, 928] - HP: 95033, STR: 102446, VIT: 55435, SPD: 32, LUK: 1, Attack: 194632, Defense: 142223, Current HP: 95033, A Avg: 204363, D Avg: 142223, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 41409: 1960 - [12014, 5367, 918] - HP: 94308, STR: 102446, VIT: 51862, SPD: 32, LUK: 1, Attack: 194632, Defense: 141640, Current HP: 94308, A Avg: 209229, D Avg: 141640, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 41411: 7088 - [12616, 3563, 2120] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 303547, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 807]]
Rank 41415: 7058 - [12617, 3564, 2118] - HP: 33364, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 33364, A Avg: 309742, D Avg: 193418, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 68]]
Rank 41440: 291 - [11643, 6511, 145] - HP: 61807, STR: 182474, VIT: 26270, SPD: 32, LUK: 2, Attack: 274660, Defense: 116048, Current HP: 61807, A Avg: 288393, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 41446: 1658 - [12219, 4789, 1291] - HP: 94164, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 94164, A Avg: 258118, D Avg: 167818, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 230, 230, 330], Black Box[323, 330, 330, 68]]
Rank 41451: 2354 - [11747, 6210, 342] - HP: 31977, STR: 160278, VIT: 52038, SPD: 32, LUK: 2, Attack: 252464, Defense: 139606, Current HP: 31977, A Avg: 265087, D Avg: 139606, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 66]]
Rank 41451: 2404 - [11747, 6210, 342] - HP: 31977, STR: 160278, VIT: 52038, SPD: 32, LUK: 2, Attack: 252464, Defense: 139606, Current HP: 31977, A Avg: 265087, D Avg: 139606, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 807]]
Rank 41456: 1545 - [12289, 4589, 1421] - HP: 140708, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 140708, A Avg: 217692, D Avg: 113482, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 41460: 2392 - [11866, 5862, 571] - HP: 47618, STR: 129628, VIT: 51926, SPD: 32, LUK: 1, Attack: 219537, Defense: 141704, Current HP: 47618, A Avg: 230513, D Avg: 170044, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 41460: 2897 - [11941, 5637, 721] - HP: 2233, STR: 128046, VIT: 82635, SPD: 32, LUK: 1, Attack: 220232, Defense: 169423, Current HP: 2233, A Avg: 231243, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 41460: 2937 - [11941, 5637, 721] - HP: 2233, STR: 128046, VIT: 82635, SPD: 32, LUK: 1, Attack: 220232, Defense: 169423, Current HP: 2233, A Avg: 231243, D Avg: 203307, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 41460: 2947 - [11941, 5637, 721] - HP: 2233, STR: 128046, VIT: 82635, SPD: 32, LUK: 1, Attack: 220232, Defense: 169423, Current HP: 2233, A Avg: 231243, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 41461: 2036 - [12048, 5317, 934] - HP: 98415, STR: 76846, VIT: 77128, SPD: 32, LUK: 1, Attack: 169032, Defense: 164553, Current HP: 98415, A Avg: 177483, D Avg: 197463, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 41462: 2490 - [11789, 6095, 415] - HP: 47908, STR: 76846, VIT: 103062, SPD: 32, LUK: 1, Attack: 169032, Defense: 192840, Current HP: 47908, A Avg: 211290, D Avg: 192840, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41465: 2480 - [11790, 6095, 414] - HP: 47908, STR: 76846, VIT: 103062, SPD: 32, LUK: 1, Attack: 169032, Defense: 192840, Current HP: 47908, A Avg: 212980, D Avg: 192840, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 41467: 1648 - [12226, 4789, 1284] - HP: 94164, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 94164, A Avg: 260183, D Avg: 167818, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 230, 230, 330], Black Box[323, 330, 330, 67]]
Rank 41474: 2510 - [11848, 5930, 521] - HP: 47908, STR: 76846, VIT: 103062, SPD: 32, LUK: 1, Attack: 169032, Defense: 192840, Current HP: 47908, A Avg: 177483, D Avg: 231408, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 41481: 1530 - [12423, 4212, 1664] - HP: 140708, STR: 102446, VIT: 26262, SPD: 32, LUK: 1, Attack: 194632, Defense: 116040, Current HP: 140708, A Avg: 243290, D Avg: 116040, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 41481: 2951 - [11812, 6045, 442] - HP: 1007, STR: 121674, VIT: 103070, SPD: 32, LUK: 2, Attack: 213860, Defense: 192848, Current HP: 1007, A Avg: 224553, D Avg: 192848, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 41481: 3001 - [11812, 6045, 442] - HP: 1007, STR: 121674, VIT: 103070, SPD: 32, LUK: 2, Attack: 213860, Defense: 192848, Current HP: 1007, A Avg: 224553, D Avg: 192848, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 41491: 161 - [12198, 4897, 1204] - HP: 122607, STR: 121674, VIT: 26270, SPD: 32, LUK: 2, Attack: 213860, Defense: 116048, Current HP: 122607, A Avg: 224553, D Avg: 116048, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 41491: 2973 - [11818, 6037, 444] - HP: 2378, STR: 109019, VIT: 103230, SPD: 32, LUK: 1, Attack: 201205, Defense: 190798, Current HP: 2378, A Avg: 251506, D Avg: 190798, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41505: 1905 - [11878, 5871, 550] - HP: 94308, STR: 137519, VIT: 25654, SPD: 32, LUK: 1, Attack: 229705, Defense: 113482, Current HP: 94308, A Avg: 246932, D Avg: 113482, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 41507: 2963 - [11818, 6053, 428] - HP: 2378, STR: 109019, VIT: 103230, SPD: 32, LUK: 1, Attack: 201205, Defense: 190798, Current HP: 2378, A Avg: 253518, D Avg: 190798, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 41508: 2377 - [11804, 6096, 399] - HP: 48633, STR: 128046, VIT: 55435, SPD: 32, LUK: 1, Attack: 220232, Defense: 142223, Current HP: 48633, A Avg: 275290, D Avg: 142223, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41508: 2975 - [11818, 6054, 427] - HP: 1508, STR: 110319, VIT: 102454, SPD: 32, LUK: 1, Attack: 202505, Defense: 190282, Current HP: 1508, A Avg: 253131, D Avg: 190282, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41513: 2914 - [11713, 6374, 212] - HP: 1577, STR: 160278, VIT: 77638, SPD: 32, LUK: 2, Attack: 252464, Defense: 165206, Current HP: 1577, A Avg: 315580, D Avg: 165206, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 41519: 2367 - [11809, 6092, 398] - HP: 48633, STR: 128046, VIT: 55435, SPD: 32, LUK: 1, Attack: 220232, Defense: 142223, Current HP: 48633, A Avg: 277492, D Avg: 142223, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
