Rank 38334: 3078 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 40773: 2040 - [11615, 5928, 756] - HP: 94163, STR: 76838, VIT: 77294, SPD: 24, LUK: 1, Attack: 169024, Defense: 167072, Current HP: 94163, A Avg: 177475, D Avg: 167072, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 40779: 2917 - [11472, 6363, 464] - HP: 2088, STR: 128038, VIT: 82414, SPD: 24, LUK: 1, Attack: 220224, Defense: 169202, Current HP: 2088, A Avg: 275280, D Avg: 169202, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 40784: 2907 - [11472, 6368, 459] - HP: 2088, STR: 128038, VIT: 82414, SPD: 24, LUK: 1, Attack: 220224, Defense: 169202, Current HP: 2088, A Avg: 277482, D Avg: 169202, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 40787: 1472 - [11889, 5120, 1290] - HP: 141433, STR: 136210, VIT: 702, SPD: 24, LUK: 1, Attack: 228396, Defense: 88270, Current HP: 141433, A Avg: 285495, D Avg: 88270, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 40796: 483 - [11340, 6776, 183] - HP: 1482, STR: 192268, VIT: 77510, SPD: 24, LUK: 2, Attack: 284454, Defense: 165078, Current HP: 1482, A Avg: 298676, D Avg: 165078, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 40796: 1902 - [11526, 6218, 555] - HP: 95033, STR: 136210, VIT: 26302, SPD: 24, LUK: 1, Attack: 228396, Defense: 113870, Current HP: 95033, A Avg: 245525, D Avg: 113870, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 40819: 3039 - [11406, 6601, 292] - HP: 1943, STR: 83347, VIT: 128766, SPD: 24, LUK: 1, Attack: 173256, Defense: 216334, Current HP: 1943, A Avg: 216570, D Avg: 216334, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 40820: 3011 - [11406, 6602, 291] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 192622, D Avg: 218280, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 40820: 3051 - [11406, 6602, 291] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 192622, D Avg: 261936, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 40820: 3061 - [11406, 6602, 291] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 192622, D Avg: 218280, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 40822: 2952 - [11590, 6052, 657] - HP: 2233, STR: 109010, VIT: 103102, SPD: 24, LUK: 1, Attack: 201196, Defense: 190670, Current HP: 2233, A Avg: 211255, D Avg: 190670, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40822: 2959 - [11590, 6052, 657] - HP: 1943, STR: 110547, VIT: 103166, SPD: 24, LUK: 1, Attack: 200456, Defense: 190734, Current HP: 1943, A Avg: 210478, D Avg: 190734, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40822: 2970 - [11490, 6352, 457] - HP: 1363, STR: 102438, VIT: 102894, SPD: 24, LUK: 1, Attack: 194624, Defense: 192672, Current HP: 1363, A Avg: 243280, D Avg: 192672, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 40822: 2992 - [11590, 6052, 657] - HP: 2233, STR: 109010, VIT: 103102, SPD: 24, LUK: 1, Attack: 201196, Defense: 190670, Current HP: 2233, A Avg: 211255, D Avg: 228804, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40822: 2999 - [11590, 6052, 657] - HP: 1943, STR: 110547, VIT: 103166, SPD: 24, LUK: 1, Attack: 200456, Defense: 190734, Current HP: 1943, A Avg: 210478, D Avg: 228880, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40822: 3002 - [11590, 6052, 657] - HP: 2233, STR: 109010, VIT: 103102, SPD: 24, LUK: 1, Attack: 201196, Defense: 190670, Current HP: 2233, A Avg: 211255, D Avg: 190670, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 40822: 3009 - [11590, 6052, 657] - HP: 1943, STR: 110547, VIT: 103166, SPD: 24, LUK: 1, Attack: 200456, Defense: 190734, Current HP: 1943, A Avg: 210478, D Avg: 190734, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 40824: 3022 - [11406, 6606, 287] - HP: 2233, STR: 81810, VIT: 128702, SPD: 24, LUK: 1, Attack: 173996, Defense: 216270, Current HP: 2233, A Avg: 219234, D Avg: 216270, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 40824: 3029 - [11406, 6606, 287] - HP: 1943, STR: 83347, VIT: 128766, SPD: 24, LUK: 1, Attack: 173256, Defense: 216334, Current HP: 1943, A Avg: 218302, D Avg: 216334, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 40824: 3032 - [11406, 6606, 287] - HP: 2233, STR: 81810, VIT: 128702, SPD: 24, LUK: 1, Attack: 173996, Defense: 216270, Current HP: 2233, A Avg: 217495, D Avg: 216270, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 40824: 3034 - [11406, 6606, 287] - HP: 1363, STR: 82813, VIT: 128046, SPD: 24, LUK: 1, Attack: 174999, Defense: 215874, Current HP: 1363, A Avg: 218748, D Avg: 215874, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 40825: 3041 - [11406, 6607, 286] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 197208, D Avg: 218280, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 40827: 3024 - [11406, 6609, 284] - HP: 1363, STR: 82813, VIT: 128046, SPD: 24, LUK: 1, Attack: 174999, Defense: 215874, Current HP: 1363, A Avg: 220498, D Avg: 215874, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 40828: 2989 - [11590, 6058, 651] - HP: 1943, STR: 110547, VIT: 103166, SPD: 24, LUK: 1, Attack: 200456, Defense: 190734, Current HP: 1943, A Avg: 215490, D Avg: 190734, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 40829: 2954 - [11590, 6059, 650] - HP: 1363, STR: 110013, VIT: 102446, SPD: 24, LUK: 1, Attack: 202199, Defense: 190274, Current HP: 1363, A Avg: 212308, D Avg: 190274, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40829: 2994 - [11590, 6059, 650] - HP: 1363, STR: 110013, VIT: 102446, SPD: 24, LUK: 1, Attack: 202199, Defense: 190274, Current HP: 1363, A Avg: 212308, D Avg: 228328, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40829: 3004 - [11590, 6059, 650] - HP: 1363, STR: 110013, VIT: 102446, SPD: 24, LUK: 1, Attack: 202199, Defense: 190274, Current HP: 1363, A Avg: 212308, D Avg: 190274, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 40831: 2960 - [11491, 6358, 450] - HP: 1363, STR: 102438, VIT: 102894, SPD: 24, LUK: 1, Attack: 194624, Defense: 192672, Current HP: 1363, A Avg: 245226, D Avg: 192672, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 40838: 2379 - [11404, 6626, 269] - HP: 48343, STR: 137747, VIT: 51966, SPD: 24, LUK: 1, Attack: 227656, Defense: 139534, Current HP: 48343, A Avg: 284570, D Avg: 139534, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 40845: 1462 - [11915, 5100, 1284] - HP: 141433, STR: 136210, VIT: 702, SPD: 24, LUK: 1, Attack: 228396, Defense: 88270, Current HP: 141433, A Avg: 287778, D Avg: 88270, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 40845: 2982 - [11590, 6075, 634] - HP: 2233, STR: 109010, VIT: 103102, SPD: 24, LUK: 1, Attack: 201196, Defense: 190670, Current HP: 2233, A Avg: 216285, D Avg: 190670, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 40853: 161 - [11879, 5216, 1204] - HP: 122512, STR: 121664, VIT: 26102, SPD: 24, LUK: 2, Attack: 213850, Defense: 115880, Current HP: 122512, A Avg: 224542, D Avg: 115880, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 40859: 2374 - [11400, 6659, 240] - HP: 47763, STR: 137213, VIT: 51246, SPD: 24, LUK: 1, Attack: 229399, Defense: 139074, Current HP: 47763, A Avg: 286748, D Avg: 139074, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 40865: 1535 - [12154, 4403, 1742] - HP: 146040, STR: 102438, VIT: 25848, SPD: 24, LUK: 1, Attack: 194624, Defense: 113273, Current HP: 146040, A Avg: 243280, D Avg: 113273, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 40868: 1536 - [12123, 4499, 1677] - HP: 140273, STR: 103884, VIT: 26158, SPD: 24, LUK: 1, Attack: 193793, Defense: 115936, Current HP: 140273, A Avg: 242241, D Avg: 115936, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 40868: 1542 - [12007, 4847, 1445] - HP: 141433, STR: 109010, VIT: 26302, SPD: 24, LUK: 1, Attack: 201196, Defense: 113870, Current HP: 141433, A Avg: 216285, D Avg: 113870, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 40869: 3013 - [11406, 6651, 242] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 197876, D Avg: 216278, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 40869: 3043 - [11406, 6651, 242] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 202588, D Avg: 216278, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 40869: 3053 - [11406, 6651, 242] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 197876, D Avg: 259533, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 40869: 3063 - [11406, 6651, 242] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 197876, D Avg: 216278, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 40870: 1896 - [11628, 5986, 685] - HP: 93873, STR: 129484, VIT: 26158, SPD: 24, LUK: 1, Attack: 219393, Defense: 115936, Current HP: 93873, A Avg: 274241, D Avg: 115936, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 40875: 2390 - [11551, 6222, 526] - HP: 47763, STR: 128038, VIT: 51694, SPD: 24, LUK: 1, Attack: 220224, Defense: 141472, Current HP: 47763, A Avg: 231235, D Avg: 169766, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 40876: 1537 - [12124, 4504, 1671] - HP: 141288, STR: 102438, VIT: 28014, SPD: 24, LUK: 1, Attack: 194624, Defense: 114802, Current HP: 141288, A Avg: 243280, D Avg: 114802, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 40876: 2984 - [11590, 6106, 603] - HP: 1363, STR: 110013, VIT: 102446, SPD: 24, LUK: 1, Attack: 202199, Defense: 190274, Current HP: 1363, A Avg: 217363, D Avg: 190274, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 40884: 1599 - [12020, 4824, 1455] - HP: 141143, STR: 83347, VIT: 51966, SPD: 24, LUK: 1, Attack: 173256, Defense: 139534, Current HP: 141143, A Avg: 216570, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 40885: 2020 - [11659, 5908, 732] - HP: 94163, STR: 76838, VIT: 77294, SPD: 24, LUK: 1, Attack: 169024, Defense: 167072, Current HP: 94163, A Avg: 181700, D Avg: 167072, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40896: 1886 - [11639, 5979, 681] - HP: 93873, STR: 129484, VIT: 26158, SPD: 24, LUK: 1, Attack: 219393, Defense: 115936, Current HP: 93873, A Avg: 276435, D Avg: 115936, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 40903: 238 - [11730, 5713, 856] - HP: 91922, STR: 103900, VIT: 51766, SPD: 24, LUK: 2, Attack: 193809, Defense: 141544, Current HP: 91922, A Avg: 203499, D Avg: 141544, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 40904: 1589 - [12029, 4817, 1453] - HP: 141143, STR: 83347, VIT: 51966, SPD: 24, LUK: 1, Attack: 173256, Defense: 139534, Current HP: 141143, A Avg: 218302, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 40907: 1497 - [12183, 4358, 1758] - HP: 141288, STR: 128038, VIT: 814, SPD: 24, LUK: 1, Attack: 220224, Defense: 87602, Current HP: 141288, A Avg: 231235, D Avg: 105122, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 40909: 1464 - [11933, 5110, 1256] - HP: 140563, STR: 137213, VIT: 46, SPD: 24, LUK: 1, Attack: 229399, Defense: 87874, Current HP: 140563, A Avg: 289042, D Avg: 87874, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 40909: 2391 - [11493, 6430, 376] - HP: 31312, STR: 152064, VIT: 51702, SPD: 24, LUK: 2, Attack: 244250, Defense: 141480, Current HP: 31312, A Avg: 256462, D Avg: 169776, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 40911: 3031 - [11406, 6693, 200] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 229312, D Avg: 218280, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 40912: 3021 - [11406, 6694, 199] - HP: 912, STR: 91264, VIT: 128502, SPD: 24, LUK: 2, Attack: 183450, Defense: 218280, Current HP: 912, A Avg: 231147, D Avg: 218280, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 40920: 2364 - [11426, 6642, 231] - HP: 47763, STR: 137213, VIT: 51246, SPD: 24, LUK: 1, Attack: 229399, Defense: 139074, Current HP: 47763, A Avg: 289042, D Avg: 139074, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 40922: 2473 - [11428, 6638, 233] - HP: 31882, STR: 96268, VIT: 103110, SPD: 24, LUK: 2, Attack: 188454, Defense: 190678, Current HP: 31882, A Avg: 197876, D Avg: 190678, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 40922: 2503 - [11428, 6638, 233] - HP: 31882, STR: 96268, VIT: 103110, SPD: 24, LUK: 2, Attack: 188454, Defense: 190678, Current HP: 31882, A Avg: 202588, D Avg: 190678, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 40922: 2523 - [11428, 6638, 233] - HP: 31882, STR: 96268, VIT: 103110, SPD: 24, LUK: 2, Attack: 188454, Defense: 190678, Current HP: 31882, A Avg: 197876, D Avg: 190678, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 40932: 3033 - [11406, 6714, 179] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 235567, D Avg: 216278, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 40933: 1525 - [12186, 4375, 1738] - HP: 146040, STR: 102438, VIT: 25848, SPD: 24, LUK: 1, Attack: 194624, Defense: 113273, Current HP: 146040, A Avg: 245226, D Avg: 113273, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 40936: 2369 - [11441, 6613, 245] - HP: 48343, STR: 137747, VIT: 51966, SPD: 24, LUK: 1, Attack: 227656, Defense: 139534, Current HP: 48343, A Avg: 286846, D Avg: 139534, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 40937: 1526 - [12156, 4469, 1674] - HP: 140273, STR: 103884, VIT: 26158, SPD: 24, LUK: 1, Attack: 193793, Defense: 115936, Current HP: 140273, A Avg: 244179, D Avg: 115936, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 40939: 3023 - [11406, 6721, 172] - HP: 1482, STR: 96268, VIT: 128710, SPD: 24, LUK: 2, Attack: 188454, Defense: 216278, Current HP: 1482, A Avg: 237452, D Avg: 216278, [Big Bang[171, 230, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 40940: 1527 - [12155, 4475, 1669] - HP: 141288, STR: 102438, VIT: 28014, SPD: 24, LUK: 1, Attack: 194624, Defense: 114802, Current HP: 141288, A Avg: 245226, D Avg: 114802, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 40944: 2372 - [11445, 6609, 245] - HP: 48633, STR: 136210, VIT: 51902, SPD: 24, LUK: 1, Attack: 228396, Defense: 139470, Current HP: 48633, A Avg: 285495, D Avg: 139470, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 40959: 2362 - [11450, 6609, 240] - HP: 48633, STR: 136210, VIT: 51902, SPD: 24, LUK: 1, Attack: 228396, Defense: 139470, Current HP: 48633, A Avg: 287778, D Avg: 139470, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 40992: 1890 - [11674, 5970, 655] - HP: 94163, STR: 128038, VIT: 26094, SPD: 24, LUK: 1, Attack: 220224, Defense: 115872, Current HP: 94163, A Avg: 275280, D Avg: 115872, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 68]]
Rank 40996: 1935 - [11778, 5662, 859] - HP: 98040, STR: 102438, VIT: 51448, SPD: 24, LUK: 1, Attack: 194624, Defense: 138873, Current HP: 98040, A Avg: 204355, D Avg: 138873, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 40996: 1985 - [11778, 5662, 859] - HP: 98040, STR: 102438, VIT: 51448, SPD: 24, LUK: 1, Attack: 194624, Defense: 138873, Current HP: 98040, A Avg: 204355, D Avg: 138873, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 40998: 1544 - [12045, 4863, 1391] - HP: 140563, STR: 110013, VIT: 25646, SPD: 24, LUK: 1, Attack: 202199, Defense: 113474, Current HP: 140563, A Avg: 217363, D Avg: 113474, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 40998: 1594 - [12041, 4875, 1383] - HP: 140563, STR: 82813, VIT: 51246, SPD: 24, LUK: 1, Attack: 174999, Defense: 139074, Current HP: 140563, A Avg: 218748, D Avg: 139074, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41002: 1592 - [12065, 4807, 1427] - HP: 141433, STR: 81810, VIT: 51902, SPD: 24, LUK: 1, Attack: 173996, Defense: 139470, Current HP: 141433, A Avg: 217495, D Avg: 139470, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 41006: 2471 - [11489, 6539, 271] - HP: 31312, STR: 91264, VIT: 102902, SPD: 24, LUK: 2, Attack: 183450, Defense: 192680, Current HP: 31312, A Avg: 192622, D Avg: 192680, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 41006: 2521 - [11489, 6539, 271] - HP: 31312, STR: 91264, VIT: 102902, SPD: 24, LUK: 2, Attack: 183450, Defense: 192680, Current HP: 31312, A Avg: 192622, D Avg: 192680, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 41008: 1582 - [12068, 4804, 1427] - HP: 141433, STR: 81810, VIT: 51902, SPD: 24, LUK: 1, Attack: 173996, Defense: 139470, Current HP: 141433, A Avg: 219234, D Avg: 139470, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 41016: 1880 - [11685, 5961, 653] - HP: 94163, STR: 128038, VIT: 26094, SPD: 24, LUK: 1, Attack: 220224, Defense: 115872, Current HP: 94163, A Avg: 277482, D Avg: 115872, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 67]]
Rank 41027: 2951 - [11590, 6257, 452] - HP: 912, STR: 121664, VIT: 102902, SPD: 24, LUK: 2, Attack: 213850, Defense: 192680, Current HP: 912, A Avg: 224542, D Avg: 192680, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 41027: 2991 - [11590, 6257, 452] - HP: 912, STR: 121664, VIT: 102902, SPD: 24, LUK: 2, Attack: 213850, Defense: 192680, Current HP: 912, A Avg: 224542, D Avg: 231216, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 41027: 3001 - [11590, 6257, 452] - HP: 912, STR: 121664, VIT: 102902, SPD: 24, LUK: 2, Attack: 213850, Defense: 192680, Current HP: 912, A Avg: 224542, D Avg: 192680, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 41028: 2501 - [11498, 6534, 267] - HP: 31312, STR: 91264, VIT: 102902, SPD: 24, LUK: 2, Attack: 183450, Defense: 192680, Current HP: 31312, A Avg: 197208, D Avg: 192680, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 41035: 2979 - [11590, 6265, 444] - HP: 1943, STR: 110547, VIT: 103166, SPD: 24, LUK: 1, Attack: 200456, Defense: 190734, Current HP: 1943, A Avg: 250570, D Avg: 190734, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 41036: 1584 - [12060, 4856, 1383] - HP: 140563, STR: 82813, VIT: 51246, SPD: 24, LUK: 1, Attack: 174999, Defense: 139074, Current HP: 140563, A Avg: 220498, D Avg: 139074, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 41039: 1610 - [12211, 4406, 1682] - HP: 140563, STR: 76838, VIT: 51694, SPD: 24, LUK: 1, Attack: 169024, Defense: 141472, Current HP: 140563, A Avg: 177475, D Avg: 169766, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 41044: 2411 - [11579, 6307, 413] - HP: 31312, STR: 121664, VIT: 77302, SPD: 24, LUK: 2, Attack: 213850, Defense: 167080, Current HP: 31312, A Avg: 224542, D Avg: 167080, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 41044: 2461 - [11579, 6307, 413] - HP: 31312, STR: 121664, VIT: 77302, SPD: 24, LUK: 2, Attack: 213850, Defense: 167080, Current HP: 31312, A Avg: 224542, D Avg: 167080, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
